,Date,Month,Team 1,Team 2,Location
0,Fri. 18,September,Bates,Trinity,
1,Fri. 18,September,Tufts,Wesleyan,
2,Fri. 18,September,Amherst,Colby,
3,Fri. 18,September,Connecticut College,Bowdoin,
4,Sat. 19,September,Bates,Amherst,
5,Sat. 19,September,Wesleyan,Bowdoin,
6,Sat. 19,September,Tufts,Connecticut College,
7,Sat. 19,September,Trinity,Colby,
8,Tue. 22,September,Hamilton,Williams,
9,Fri. 2,October,Williams,Amherst,
10,Fri. 2,October,Wesleyan,Colby,
11,Fri. 2,October,Hamilton,Trinity,
12,Fri. 2,October,Connecticut College,Bates,
13,Sat. 3,October,Hamilton,Amherst,
14,Sat. 3,October,Middlebury,Trinity,
15,Sat. 3,October,Connecticut College,Colby,
16,Sat. 3,October,Wesleyan,Bates,
17,Sat. 3,October,Williams,Trinity,
18,Sat. 3,October,Middlebury,Amherst,
19,Wed. 7,October,Tufts,Bowdoin,
20,Fri. 9,October,Connecticut College,Middlebury,
21,Fri. 9,October,Bowdoin,Colby,
22,Fri. 9,October,Tufts,Bates,
23,Fri. 9,October,Williams,Wesleyan,
24,Sat. 10,October,Hamilton,Wesleyan,
25,Sat. 10,October,Bowdoin,Bates,
26,Sat. 10,October,Connecticut College,Williams,
27,Sat. 10,October,Tufts,Colby,
28,Sat. 10,October,Connecticut College,Hamilton,
29,Sat. 10,October,Middlebury,Wesleyan,
30,Fri. 16,October,Trinity,Wesleyan,
31,Fri. 16,October,Middlebury,Tufts,
32,Fri. 16,October,Hamilton,Bowdoin,
33,Fri. 16,October,Amherst,Connecticut College,
34,Sat. 17,October,Amherst,Wesleyan,
35,Sat. 17,October,Hamilton,Tufts,
36,Sat. 17,October,Williams,Bowdoin,
37,Sat. 17,October,Middlebury,Bowdoin,
38,Sat. 17,October,Trinity,Connecticut College,
39,Sat. 17,October,Williams,Tufts,
40,Sat. 17,October,Middlebury,Hamilton,
41,Wed. 21,October,Bates,Colby,
42,Wed. 21,October,Trinity,Amherst,
43,Wed. 28,October,Williams,Middlebury,
44,Fri. 30,October,Hamilton,Colby,
45,Fri. 30,October,Amherst,Bowdoin,
46,Fri. 30,October,Connecticut College,Wesleyan,
47,Fri. 30,October,Trinity,Tufts,
48,Fri. 30,October,Williams,Bates,
49,Sat. 31,October,Middlebury,Colby,
50,Sat. 31,October,Amherst,Tufts,
51,Sat. 31,October,Hamilton,Bates,
52,Sat. 31,October,Trinity,Bowdoin,
53,Sat. 31,October,Williams,Colby,
54,Sat. 31,October,Middlebury,Bates,
