,Date,Month,Team 1,Team 2,Location
0,Fri. 17,September,Colby,Bowdoin,
1,Fri. 17,September,Connecticut College,Williams,
2,Fri. 17,September,Middlebury,Amherst,
3,Fri. 17,September,Trinity,Hamilton,
4,Fri. 17,September,Tufts,Bates,
5,Sat. 18,September,Connecticut College,Hamilton,
6,Sat. 18,September,Wesleyan,Williams,
7,Sat. 18,September,Bowdoin,Bates,
8,Sat. 18,September,Colby,Tufts,
9,Sat. 18,September,Wesleyan,Hamilton,
10,Sat. 18,September,Trinity,Williams,
11,Fri. 1,October,Wesleyan,Bowdoin,
12,Fri. 1,October,Bates,Amherst,
13,Fri. 1,October,Middlebury,Colby,
14,Fri. 1,October,Connecticut College,Tufts,
15,Sat. 2,October,Amherst,Colby,
16,Sat. 2,October,Trinity,Tufts,
17,Sat. 2,October,Connecticut College,Bowdoin,
18,Sat. 2,October,Trinity,Bowdoin,
19,Sat. 2,October,Wesleyan,Tufts,
20,Sat. 2,October,Bates,Middlebury,
21,Fri. 8,October,Williams,Colby,
22,Fri. 8,October,Middlebury,Bowdoin,
23,Fri. 8,October,Wesleyan,Trinity,
24,Fri. 8,October,Amherst,Tufts,
25,Fri. 8,October,Hamilton,Bates,
26,Sat. 9,October,Amherst,Bowdoin,
27,Sat. 9,October,Hamilton,Colby,
28,Sat. 9,October,Williams,Bates,
29,Sat. 9,October,Middlebury,Tufts,
30,Sat. 9,October,Connecticut College,Wesleyan,
31,Sat. 9,October,Williams,Hamilton,
32,Sun. 10,October,Trinity,Connecticut College,
33,Wed. 13,October,Bowdoin,Tufts,
34,Fri. 15,October,Tufts,Williams,
35,Fri. 15,October,Amherst,Trinity,
36,Fri. 15,October,Wesleyan,Middlebury,
37,Fri. 15,October,Hamilton,Bowdoin,
38,Sat. 16,October,Williams,Bowdoin,
39,Sat. 16,October,Connecticut College,Middlebury,
40,Sat. 16,October,Amherst,Wesleyan,
41,Sat. 16,October,Amherst,Connecticut College,
42,Sat. 16,October,Tufts,Hamilton,
43,Sat. 16,October,Trinity,Middlebury,
44,Tue. 19,October,Colby,Bates,
45,Fri. 29,October,Hamilton,Middlebury,
46,Fri. 29,October,Trinity,Colby,
47,Fri. 29,October,Williams,Amherst,
48,Fri. 29,October,Wesleyan,Bates,
49,Sat. 30,October,Williams,Middlebury,
50,Sat. 30,October,Connecticut College,Bates,
51,Sat. 30,October,Wesleyan,Colby,
52,Sat. 30,October,Connecticut College,Colby,
53,Sat. 30,October,Hamilton,Amherst,
54,Sat. 30,October,Trinity,Bates,
