,Team 2,Date,Team 1,Location,Month
0,Bowdoin,Fri. 17,Colby,Colby,September
1,Williams,Fri. 17,Connecticut College,Connecticut College,September
2,Amherst,Fri. 17,Middlebury,Middlebury,September
3,Hamilton,Fri. 17,Trinity,Connecticut College,September
4,Bates,Fri. 17,Tufts,Colby,September
5,Hamilton,Sat. 18,Connecticut College,Connecticut College,September
6,Williams,Sat. 18,Wesleyan,Connecticut College,September
7,Bates,Sat. 18,Bowdoin,Colby,September
8,Tufts,Sat. 18,Colby,Colby,September
9,Hamilton,Sat. 18,Wesleyan,Connecticut College,September
10,Williams,Sat. 18,Trinity,Connecticut College,September
11,Bowdoin,Fri. 1,Wesleyan,Wesleyan,October
12,Amherst,Fri. 1,Bates,Bates,October
13,Colby,Fri. 1,Middlebury,Bates,October
14,Tufts,Fri. 1,Connecticut College,Wesleyan,October
15,Colby,Sat. 2,Amherst,Bates,October
16,Tufts,Sat. 2,Trinity,Wesleyan,October
17,Bowdoin,Sat. 2,Connecticut College,Wesleyan,October
18,Bowdoin,Sat. 2,Trinity,Wesleyan,October
19,Tufts,Sat. 2,Wesleyan,Wesleyan,October
20,Middlebury,Sat. 2,Bates,Bates,October
21,Colby,Fri. 8,Williams,Williams,October
22,Bowdoin,Fri. 8,Middlebury,Middlebury,October
23,Trinity,Fri. 8,Wesleyan,Wesleyan,October
24,Tufts,Fri. 8,Amherst,Middlebury,October
25,Bates,Fri. 8,Hamilton,Williams,October
26,Bowdoin,Sat. 9,Amherst,Middlebury,October
27,Colby,Sat. 9,Hamilton,Williams,October
28,Bates,Sat. 9,Williams,Williams,October
29,Tufts,Sat. 9,Middlebury,Middlebury,October
30,Wesleyan,Sat. 9,Connecticut College,Connecticut College,October
31,Hamilton,Sat. 9,Williams,Williams,October
32,Connecticut College,Sun. 10,Trinity,Trinity,October
33,Tufts,Wed. 13,Bowdoin,Bowdoin,October
34,Williams,Fri. 15,Tufts,Tufts,October
35,Trinity,Fri. 15,Amherst,Amherst,October
36,Middlebury,Fri. 15,Wesleyan,Amherst,October
37,Bowdoin,Fri. 15,Hamilton,Tufts,October
38,Bowdoin,Sat. 16,Williams,Tufts,October
39,Middlebury,Sat. 16,Connecticut College,Amherst,October
40,Wesleyan,Sat. 16,Amherst,Amherst,October
41,Connecticut College,Sat. 16,Amherst,Amherst,October
42,Hamilton,Sat. 16,Tufts,Tufts,October
43,Middlebury,Sat. 16,Trinity,Amherst,October
44,Bates,Tue. 19,Colby,Colby,October
45,Middlebury,Fri. 29,Hamilton,Hamilton,October
46,Colby,Fri. 29,Trinity,Trinity,October
47,Amherst,Fri. 29,Williams,Hamilton,October
48,Bates,Fri. 29,Wesleyan,Trinity,October
49,Middlebury,Sat. 30,Williams,Hamilton,October
50,Bates,Sat. 30,Connecticut College,Trinity,October
51,Colby,Sat. 30,Wesleyan,Trinity,October
52,Colby,Sat. 30,Connecticut College,Trinity,October
53,Amherst,Sat. 30,Hamilton,Hamilton,October
54,Bates,Sat. 30,Trinity,Trinity,October
