,Week,Day (Str),Time Slot,Team 1,Team 2,Location
0,0,Fri.,0,Bates College,Amherst College,Bowdoin College
1,0,Fri.,1,Colby College,Williams College,Bowdoin College
2,0,Fri.,2,Bowdoin College,Trinity College,Bowdoin College
3,0,Sat.,3,Bates College,Trinity College,Bowdoin College
4,0,Sat.,4,Colby College,Amherst College,Bowdoin College
5,0,Sat.,5,Bowdoin College,Williams College,Bowdoin College
6,0,Sat.,6,Bowdoin College,Amherst College,Bowdoin College
7,0,Sat.,7,Bates College,Williams College,Bowdoin College
8,0,Sat.,8,Colby College,Trinity College,Bowdoin College
9,0,Fri.,0,Wesleyan University,Connecticut College,Connecticut College
10,0,Sat.,1,Wesleyan University,Tufts University,Connecticut College
11,0,Sat.,2,Tufts University,Connecticut College,Connecticut College
12,0,Sat.,0,Hamilton College,Middlebury College,Hamilton College
13,1,Fri.,0,Wesleyan University,Bowdoin College,Tufts University
14,1,Fri.,1,Tufts University,Colby College,Tufts University
15,1,Fri.,2,Connecticut College,Bates College,Tufts University
16,1,Sat.,3,Tufts University,Bates College,Tufts University
17,1,Sat.,4,Wesleyan University,Colby College,Tufts University
18,1,Sat.,5,Connecticut College,Bowdoin College,Tufts University
19,1,Sat.,6,Connecticut College,Colby College,Tufts University
20,1,Sat.,7,Tufts University,Bowdoin College,Tufts University
21,1,Sat.,8,Wesleyan University,Bates College,Tufts University
22,1,Fri.,0,Williams College,Middlebury College,Williams College
23,1,Sat.,1,Amherst College,Middlebury College,Williams College
24,1,Sat.,2,Trinity College,Middlebury College,Williams College
25,2,Fri.,0,Bates College,Bowdoin College,Colby College
26,2,Sat.,1,Colby College,Bowdoin College,Colby College
27,2,Sat.,2,Bates College,Colby College,Colby College
28,2,Fri.,0,Connecticut College,Middlebury College,Wesleyan University
29,2,Sat.,1,Tufts University,Middlebury College,Wesleyan University
30,2,Sat.,2,Wesleyan University,Middlebury College,Wesleyan University
31,2,Fri.,0,Williams College,Hamilton College,Williams College
32,2,Sat.,1,Amherst College,Hamilton College,Williams College
33,2,Sat.,2,Trinity College,Hamilton College,Williams College
34,3,Fri.,0,Amherst College,Trinity College,Amherst College
35,3,Sat.,1,Trinity College,Williams College,Amherst College
36,3,Sat.,2,Amherst College,Williams College,Amherst College
37,3,Fri.,0,Middlebury College,Colby College,Middlebury College
38,3,Sat.,1,Middlebury College,Bowdoin College,Middlebury College
39,3,Sat.,2,Middlebury College,Bates College,Middlebury College
40,3,Fri.,0,Wesleyan University,Hamilton College,Wesleyan University
41,3,Sat.,1,Connecticut College,Hamilton College,Wesleyan University
42,3,Sat.,2,Tufts University,Hamilton College,Wesleyan University
43,4,Fri.,0,Bowdoin College,Hamilton College,Bates College
44,4,Sat.,1,Bates College,Hamilton College,Bates College
45,4,Sat.,2,Colby College,Hamilton College,Bates College
46,4,Fri.,0,Trinity College,Connecticut College,Trinity College
47,4,Fri.,1,Williams College,Wesleyan University,Trinity College
48,4,Fri.,2,Amherst College,Tufts University,Trinity College
49,4,Sat.,3,Williams College,Tufts University,Trinity College
50,4,Sat.,4,Amherst College,Wesleyan University,Trinity College
51,4,Sat.,5,Amherst College,Connecticut College,Trinity College
52,4,Sat.,6,Trinity College,Wesleyan University,Trinity College
53,4,Sat.,7,Trinity College,Tufts University,Trinity College
54,4,Sat.,8,Williams College,Connecticut College,Trinity College
