,Week,Day (Str),Time Slot,Team 1,Team 2,Location
0,0,Fri.,0,Amherst College,Bates College,Bates College
1,0,Sat.,3,Amherst College,Bowdoin College,Bates College
2,0,Sat.,7,Amherst College,Colby College,Bates College
3,1,Sat.,1,Amherst College,Tufts University,Tufts University
4,2,Fri.,0,Amherst College,Hamilton College,Williams College
5,3,Sat.,1,Amherst College,Middlebury College,Middlebury College
6,3,Sat.,2,Amherst College,Williams College,Middlebury College
7,4,Fri.,2,Amherst College,Wesleyan University,Amherst College
8,4,Sat.,3,Amherst College,Trinity College,Amherst College
9,4,Sat.,8,Amherst College,Connecticut College,Amherst College
10,0,Fri.,0,Bates College,Amherst College,Bates College
11,0,Sat.,4,Bates College,Middlebury College,Bates College
12,0,Sat.,8,Bates College,Williams College,Bates College
13,1,Fri.,1,Bates College,Trinity College,Connecticut College
14,1,Sat.,3,Bates College,Connecticut College,Connecticut College
15,1,Sat.,6,Bates College,Wesleyan University,Connecticut College
16,2,Sat.,1,Bates College,Bowdoin College,Colby College
17,2,Sat.,2,Bates College,Colby College,Colby College
18,3,Sat.,2,Bates College,Tufts University,Bowdoin College
19,4,Sat.,2,Bates College,Hamilton College,Bowdoin College
20,0,Fri.,1,Bowdoin College,Middlebury College,Bates College
21,0,Sat.,3,Bowdoin College,Amherst College,Bates College
22,0,Sat.,6,Bowdoin College,Williams College,Bates College
23,1,Fri.,0,Bowdoin College,Wesleyan University,Connecticut College
24,1,Sat.,5,Bowdoin College,Trinity College,Connecticut College
25,1,Sat.,8,Bowdoin College,Connecticut College,Connecticut College
26,2,Fri.,0,Bowdoin College,Colby College,Colby College
27,2,Sat.,1,Bowdoin College,Bates College,Colby College
28,3,Sat.,1,Bowdoin College,Tufts University,Bowdoin College
29,4,Sat.,1,Bowdoin College,Hamilton College,Bowdoin College
30,0,Fri.,2,Colby College,Williams College,Bates College
31,0,Sat.,5,Colby College,Middlebury College,Bates College
32,0,Sat.,7,Colby College,Amherst College,Bates College
