,Week,Day (Str),Time Slot,Team 1,Team 2,Location
0,0,Sat.,3,Amherst College,Connecticut College,Trinity College
1,0,Sat.,5,Amherst College,Tufts University,Trinity College
2,1,Fri.,0,Amherst College,Trinity College,Wesleyan University
3,1,Sat.,1,Amherst College,Wesleyan University,Wesleyan University
4,2,Fri.,1,Amherst College,Hamilton College,Amherst College
5,2,Sat.,2,Amherst College,Williams College,Amherst College
6,3,Sat.,1,Amherst College,Middlebury College,Middlebury College
7,4,Fri.,2,Amherst College,Bowdoin College,Bowdoin College
8,4,Sat.,4,Amherst College,Colby College,Bowdoin College
9,4,Sat.,7,Amherst College,Bates College,Bowdoin College
10,0,Sat.,2,Bates College,Middlebury College,Bates College
11,1,Fri.,0,Bates College,Williams College,Colby College
12,1,Sat.,5,Bates College,Hamilton College,Colby College
13,2,Sat.,3,Bates College,Tufts University,Tufts University
14,2,Sat.,5,Bates College,Connecticut College,Tufts University
15,3,Fri.,0,Bates College,Colby College,Bates College
16,3,Sat.,2,Bates College,Bowdoin College,Bates College
17,4,Fri.,0,Bates College,Wesleyan University,Bowdoin College
18,4,Sat.,6,Bates College,Trinity College,Bowdoin College
19,4,Sat.,7,Bates College,Amherst College,Bowdoin College
20,0,Fri.,0,Bowdoin College,Middlebury College,Bates College
21,1,Sat.,3,Bowdoin College,Hamilton College,Colby College
22,1,Sat.,4,Bowdoin College,Williams College,Colby College
23,2,Fri.,1,Bowdoin College,Tufts University,Tufts University
24,2,Sat.,2,Bowdoin College,Connecticut College,Tufts University
25,3,Sat.,1,Bowdoin College,Colby College,Bates College
26,3,Sat.,2,Bowdoin College,Bates College,Bates College
27,4,Fri.,2,Bowdoin College,Amherst College,Bowdoin College
28,4,Sat.,3,Bowdoin College,Trinity College,Bowdoin College
29,4,Sat.,5,Bowdoin College,Wesleyan University,Bowdoin College
30,0,Sat.,1,Colby College,Middlebury College,Bates College
31,1,Fri.,1,Colby College,Hamilton College,Colby College
32,1,Sat.,2,Colby College,Williams College,Colby College
33,2,Fri.,0,Colby College,Connecticut College,Tufts University
34,2,Sat.,4,Colby College,Tufts University,Tufts University
35,3,Fri.,0,Colby College,Bates College,Bates College
36,3,Sat.,1,Colby College,Bowdoin College,Bates College
37,4,Fri.,1,Colby College,Trinity College,Bowdoin College
38,4,Sat.,4,Colby College,Amherst College,Bowdoin College
39,4,Sat.,8,Colby College,Wesleyan University,Bowdoin College
40,0,Fri.,1,Connecticut College,Trinity College,Trinity College
41,0,Sat.,3,Connecticut College,Amherst College,Trinity College
42,0,Sat.,4,Connecticut College,Wesleyan University,Trinity College
43,1,Sat.,1,Connecticut College,Middlebury College,Connecticut College
44,2,Fri.,0,Connecticut College,Colby College,Tufts University
45,2,Sat.,2,Connecticut College,Bowdoin College,Tufts University
46,2,Sat.,5,Connecticut College,Bates College,Tufts University
47,3,Fri.,0,Connecticut College,Hamilton College,Williams College
48,3,Sat.,3,Connecticut College,Williams College,Williams College
49,4,Sat.,0,Connecticut College,Tufts University,Connecticut College
50,0,Sat.,0,Hamilton College,Williams College,Hamilton College
51,1,Fri.,1,Hamilton College,Colby College,Colby College
52,1,Sat.,3,Hamilton College,Bowdoin College,Colby College
53,1,Sat.,5,Hamilton College,Bates College,Colby College
54,2,Fri.,1,Hamilton College,Amherst College,Amherst College
55,2,Sat.,3,Hamilton College,Wesleyan University,Amherst College
56,2,Sat.,5,Hamilton College,Trinity College,Amherst College
57,3,Fri.,0,Hamilton College,Connecticut College,Williams College
58,3,Sat.,2,Hamilton College,Tufts University,Williams College
59,4,Sat.,1,Hamilton College,Middlebury College,Hamilton College
60,0,Fri.,0,Middlebury College,Bowdoin College,Bates College
61,0,Sat.,1,Middlebury College,Colby College,Bates College
62,0,Sat.,2,Middlebury College,Bates College,Bates College
63,1,Sat.,0,Middlebury College,Tufts University,Connecticut College
64,1,Sat.,1,Middlebury College,Connecticut College,Connecticut College
65,3,Fri.,0,Middlebury College,Trinity College,Middlebury College
66,3,Sat.,1,Middlebury College,Amherst College,Middlebury College
67,3,Sat.,2,Middlebury College,Wesleyan University,Middlebury College
68,4,Sat.,0,Middlebury College,Williams College,Hamilton College
69,4,Sat.,1,Middlebury College,Hamilton College,Hamilton College
70,0,Fri.,1,Trinity College,Connecticut College,Trinity College
71,0,Sat.,2,Trinity College,Tufts University,Trinity College
72,1,Fri.,0,Trinity College,Amherst College,Wesleyan University
73,1,Sat.,2,Trinity College,Wesleyan University,Wesleyan University
74,2,Fri.,0,Trinity College,Williams College,Amherst College
75,2,Sat.,5,Trinity College,Hamilton College,Amherst College
76,3,Fri.,0,Trinity College,Middlebury College,Middlebury College
77,4,Fri.,1,Trinity College,Colby College,Bowdoin College
78,4,Sat.,3,Trinity College,Bowdoin College,Bowdoin College
79,4,Sat.,6,Trinity College,Bates College,Bowdoin College
80,0,Fri.,0,Tufts University,Wesleyan University,Trinity College
81,0,Sat.,2,Tufts University,Trinity College,Trinity College
82,0,Sat.,5,Tufts University,Amherst College,Trinity College
83,1,Sat.,0,Tufts University,Middlebury College,Connecticut College
84,2,Fri.,1,Tufts University,Bowdoin College,Tufts University
85,2,Sat.,3,Tufts University,Bates College,Tufts University
86,2,Sat.,4,Tufts University,Colby College,Tufts University
87,3,Fri.,1,Tufts University,Williams College,Williams College
88,3,Sat.,2,Tufts University,Hamilton College,Williams College
89,4,Sat.,0,Tufts University,Connecticut College,Connecticut College
90,0,Fri.,0,Wesleyan University,Tufts University,Trinity College
91,0,Sat.,4,Wesleyan University,Connecticut College,Trinity College
92,1,Sat.,1,Wesleyan University,Amherst College,Wesleyan University
93,1,Sat.,2,Wesleyan University,Trinity College,Wesleyan University
