,Day (Str),Date,Team 1,Team 2,Location
56,Sat.,2018-10-06,Hamilton College,Colby College,Hamilton College
57,Fri.,2018-10-12,Hamilton College,Amherst College,Amherst College
58,Sat.,2018-10-13,Hamilton College,Trinity College,Trinity College
59,Fri.,2018-10-26,Hamilton College,Middlebury College,Middlebury College
60,Fri.,2018-09-14,Middlebury College,Amherst College,Middlebury College
61,Sat.,2018-09-15,Middlebury College,Trinity College,Middlebury College
62,Fri.,2018-09-28,Middlebury College,Bates College,Bates College
63,Sat.,2018-09-29,Middlebury College,Colby College,Colby College
64,Fri.,2018-10-05,Middlebury College,Connecticut College,Connecticut College
65,Sat.,2018-10-06,Middlebury College,Wesleyan University,Wesleyan University
66,Fri.,2018-10-12,Middlebury College,Tufts University,Middlebury College
67,Sat.,2018-10-13,Middlebury College,Bowdoin College,Middlebury College
68,Fri.,2018-10-26,Middlebury College,Hamilton College,Middlebury College
69,Sat.,2018-10-27,Middlebury College,Williams College,Middlebury College
70,Sat.,2018-09-15,Trinity College,Middlebury College,Middlebury College
71,Fri.,2018-09-21,Trinity College,Amherst College,Amherst College
72,Fri.,2018-09-28,Trinity College,Wesleyan University,Trinity College
73,Sat.,2018-09-29,Trinity College,Connecticut College,Trinity College
74,Fri.,2018-10-05,Trinity College,Bowdoin College,Bowdoin College
75,Sat.,2018-10-06,Trinity College,Tufts University,Tufts University
76,Fri.,2018-10-12,Trinity College,Williams College,Trinity College
77,Sat.,2018-10-13,Trinity College,Hamilton College,Trinity College
78,Fri.,2018-10-26,Trinity College,Colby College,Colby College
79,Sat.,2018-10-27,Trinity College,Bates College,Bates College
80,Fri.,2018-09-14,Tufts University,Bates College,Bates College
81,Sat.,2018-09-15,Tufts University,Colby College,Colby College
82,Fri.,2018-09-21,Tufts University,Bowdoin College,Tufts University
83,Fri.,2018-09-28,Tufts University,Hamilton College,Hamilton College
84,Sat.,2018-09-29,Tufts University,Williams College,Williams College
85,Fri.,2018-10-05,Tufts University,Amherst College,Tufts University
86,Sat.,2018-10-06,Tufts University,Trinity College,Tufts University
87,Fri.,2018-10-12,Tufts University,Middlebury College,Middlebury College
88,Fri.,2018-10-26,Tufts University,Connecticut College,Tufts University
89,Sat.,2018-10-27,Tufts University,Wesleyan University,Tufts University
90,Fri.,2018-09-14,Wesleyan University,Williams College,Wesleyan University
91,Sat.,2018-09-15,Wesleyan University,Hamilton College,Wesleyan University
92,Thu.,2018-09-20,Wesleyan University,Connecticut College,Connecticut College
93,Fri.,2018-09-28,Wesleyan University,Trinity College,Trinity College
94,Sat.,2018-09-29,Wesleyan University,Amherst College,Amherst College
95,Sat.,2018-10-06,Wesleyan University,Middlebury College,Wesleyan University
96,Fri.,2018-10-12,Wesleyan University,Colby College,Wesleyan University
97,Sat.,2018-10-13,Wesleyan University,Bates College,Wesleyan University
98,Fri.,2018-10-26,Wesleyan University,Bowdoin College,Bowdoin College
99,Sat.,2018-10-27,Wesleyan University,Tufts University,Tufts University
100,Fri.,2018-09-14,Williams College,Wesleyan University,Wesleyan University
101,Sat.,2018-09-15,Williams College,Connecticut College,Connecticut College
102,Tue.,2018-09-18,Williams College,Hamilton College,Williams College
103,Fri.,2018-09-28,Williams College,Bowdoin College,Williams College
104,Sat.,2018-09-29,Williams College,Tufts University,Williams College
105,Fri.,2018-10-05,Williams College,Colby College,Williams College
106,Sat.,2018-10-06,Williams College,Bates College,Williams College
107,Fri.,2018-10-12,Williams College,Trinity College,Trinity College
108,Sat.,2018-10-13,Williams College,Amherst College,Amherst College
109,Sat.,2018-10-27,Williams College,Middlebury College,Middlebury College
