,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2018-09-14,Amherst College,Middlebury College,Middlebury College
1,Fri.,2018-09-21,Amherst College,Trinity College,Amherst College
2,Fri.,2018-09-28,Amherst College,Connecticut College,Amherst College
3,Sat.,2018-09-29,Amherst College,Wesleyan University,Amherst College
4,Fri.,2018-10-05,Amherst College,Tufts University,Tufts University
5,Sat.,2018-10-06,Amherst College,Bowdoin College,Bowdoin College
6,Fri.,2018-10-12,Amherst College,Hamilton College,Amherst College
7,Sat.,2018-10-13,Amherst College,Williams College,Amherst College
8,Fri.,2018-10-26,Amherst College,Bates College,Bates College
9,Sat.,2018-10-27,Amherst College,Colby College,Colby College
10,Fri.,2018-09-14,Bates College,Tufts University,Bates College
11,Sat.,2018-09-15,Bates College,Bowdoin College,Bates College
12,Fri.,2018-09-21,Bates College,Colby College,Bates College
13,Fri.,2018-09-28,Bates College,Middlebury College,Bates College
14,Fri.,2018-10-05,Bates College,Hamilton College,Hamilton College
15,Sat.,2018-10-06,Bates College,Williams College,Williams College
16,Fri.,2018-10-12,Bates College,Connecticut College,Connecticut College
17,Sat.,2018-10-13,Bates College,Wesleyan University,Wesleyan University
18,Fri.,2018-10-26,Bates College,Amherst College,Bates College
19,Sat.,2018-10-27,Bates College,Trinity College,Bates College
20,Fri.,2018-09-14,Bowdoin College,Colby College,Colby College
21,Sat.,2018-09-15,Bowdoin College,Bates College,Bates College
22,Fri.,2018-09-21,Bowdoin College,Tufts University,Tufts University
23,Fri.,2018-09-28,Bowdoin College,Williams College,Williams College
24,Sat.,2018-09-29,Bowdoin College,Hamilton College,Hamilton College
25,Fri.,2018-10-05,Bowdoin College,Trinity College,Bowdoin College
26,Sat.,2018-10-06,Bowdoin College,Amherst College,Bowdoin College
27,Sat.,2018-10-13,Bowdoin College,Middlebury College,Middlebury College
28,Fri.,2018-10-26,Bowdoin College,Wesleyan University,Bowdoin College
29,Sat.,2018-10-27,Bowdoin College,Connecticut College,Bowdoin College
30,Fri.,2018-09-14,Colby College,Bowdoin College,Colby College
31,Sat.,2018-09-15,Colby College,Tufts University,Colby College
32,Fri.,2018-09-21,Colby College,Bates College,Bates College
33,Sat.,2018-09-29,Colby College,Middlebury College,Colby College
34,Fri.,2018-10-05,Colby College,Williams College,Williams College
35,Sat.,2018-10-06,Colby College,Hamilton College,Hamilton College
36,Fri.,2018-10-12,Colby College,Wesleyan University,Wesleyan University
37,Sat.,2018-10-13,Colby College,Connecticut College,Connecticut College
38,Fri.,2018-10-26,Colby College,Trinity College,Colby College
39,Sat.,2018-10-27,Colby College,Amherst College,Colby College
40,Fri.,2018-09-14,Connecticut College,Hamilton College,Connecticut College
41,Sat.,2018-09-15,Connecticut College,Williams College,Connecticut College
42,Thu.,2018-09-20,Connecticut College,Wesleyan University,Connecticut College
43,Fri.,2018-09-28,Connecticut College,Amherst College,Amherst College
44,Sat.,2018-09-29,Connecticut College,Trinity College,Trinity College
45,Fri.,2018-10-05,Connecticut College,Middlebury College,Connecticut College
46,Fri.,2018-10-12,Connecticut College,Bates College,Connecticut College
47,Sat.,2018-10-13,Connecticut College,Colby College,Connecticut College
48,Fri.,2018-10-26,Connecticut College,Tufts University,Tufts University
49,Sat.,2018-10-27,Connecticut College,Bowdoin College,Bowdoin College
50,Fri.,2018-09-14,Hamilton College,Connecticut College,Connecticut College
51,Sat.,2018-09-15,Hamilton College,Wesleyan University,Wesleyan University
52,Tue.,2018-09-18,Hamilton College,Williams College,Williams College
53,Fri.,2018-09-28,Hamilton College,Tufts University,Hamilton College
54,Sat.,2018-09-29,Hamilton College,Bowdoin College,Hamilton College
55,Fri.,2018-10-05,Hamilton College,Bates College,Hamilton College
