,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2013-09-20,Amherst College,Bowdoin College,Amherst College
1,Sat.,2013-09-21,Amherst College,Bates College,Amherst College
2,Thu.,2013-09-26,Amherst College,Williams College,Williams College
3,Fri.,2013-10-04,Amherst College,Connecticut College,Amherst College
4,Sat.,2013-10-05,Amherst College,Tufts University,Amherst College
5,Fri.,2013-10-11,Amherst College,Middlebury College,Middlebury College
6,Sat.,2013-10-12,Amherst College,Hamilton College,Hamilton College
7,Fri.,2013-10-18,Amherst College,Colby College,Amherst College
8,Fri.,2013-11-01,Amherst College,Wesleyan University,Wesleyan University
9,Sat.,2013-11-02,Amherst College,Trinity College,Trinity College
10,Fri.,2013-09-20,Bates College,Williams College,Williams College
11,Sat.,2013-09-21,Bates College,Amherst College,Amherst College
12,Wed.,2013-09-25,Bates College,Bowdoin College,Bates College
13,Sat.,2013-10-05,Bates College,Colby College,Colby College
14,Fri.,2013-10-11,Bates College,Tufts University,Bates College
15,Sat.,2013-10-12,Bates College,Connecticut College,Bates College
16,Fri.,2013-10-18,Bates College,Trinity College,Bates College
17,Sat.,2013-10-19,Bates College,Wesleyan University,Bates College
18,Fri.,2013-11-01,Bates College,Hamilton College,Hamilton College
19,Sat.,2013-11-02,Bates College,Middlebury College,Middlebury College
20,Fri.,2013-09-20,Bowdoin College,Amherst College,Amherst College
21,Sat.,2013-09-21,Bowdoin College,Williams College,Williams College
22,Wed.,2013-09-25,Bowdoin College,Bates College,Bates College
23,Fri.,2013-10-04,Bowdoin College,Colby College,Colby College
24,Fri.,2013-10-11,Bowdoin College,Connecticut College,Bowdoin College
25,Sat.,2013-10-12,Bowdoin College,Tufts University,Bowdoin College
26,Fri.,2013-10-18,Bowdoin College,Wesleyan University,Bowdoin College
27,Sat.,2013-10-19,Bowdoin College,Trinity College,Bowdoin College
28,Fri.,2013-11-01,Bowdoin College,Middlebury College,Middlebury College
29,Sat.,2013-11-02,Bowdoin College,Hamilton College,Hamilton College
30,Fri.,2013-09-20,Colby College,Hamilton College,Hamilton College
31,Sat.,2013-09-21,Colby College,Middlebury College,Middlebury College
32,Fri.,2013-10-04,Colby College,Bowdoin College,Colby College
