,Day (Str),Date,Team 1,Team 2,Location
33,Sat.,2013-10-05,Colby College,Bates College,Colby College
34,Fri.,2013-10-11,Colby College,Wesleyan University,Colby College
35,Sat.,2013-10-12,Colby College,Trinity College,Colby College
36,Fri.,2013-10-18,Colby College,Amherst College,Amherst College
37,Sat.,2013-10-19,Colby College,Williams College,Williams College
38,Fri.,2013-11-01,Colby College,Connecticut College,Connecticut College
39,Sat.,2013-11-02,Colby College,Tufts University,Tufts University
40,Fri.,2013-09-20,Connecticut College,Wesleyan University,Connecticut College
41,Sat.,2013-09-21,Connecticut College,Trinity College,Connecticut College
42,Sat.,2013-09-28,Connecticut College,Tufts University,Tufts University
43,Fri.,2013-10-04,Connecticut College,Amherst College,Amherst College
44,Sat.,2013-10-05,Connecticut College,Williams College,Williams College
45,Fri.,2013-10-11,Connecticut College,Bowdoin College,Bowdoin College
46,Sat.,2013-10-12,Connecticut College,Bates College,Bates College
47,Fri.,2013-10-18,Connecticut College,Middlebury College,Connecticut College
48,Sat.,2013-10-19,Connecticut College,Hamilton College,Connecticut College
49,Fri.,2013-11-01,Connecticut College,Colby College,Connecticut College
50,Fri.,2013-09-20,Hamilton College,Colby College,Hamilton College
51,Sat.,2013-09-28,Hamilton College,Middlebury College,Hamilton College
52,Fri.,2013-10-04,Hamilton College,Trinity College,Trinity College
53,Sat.,2013-10-05,Hamilton College,Wesleyan University,Wesleyan University
54,Fri.,2013-10-11,Hamilton College,Williams College,Hamilton College
55,Sat.,2013-10-12,Hamilton College,Amherst College,Hamilton College
56,Fri.,2013-10-18,Hamilton College,Tufts University,Tufts University
57,Sat.,2013-10-19,Hamilton College,Connecticut College,Connecticut College
58,Fri.,2013-11-01,Hamilton College,Bates College,Hamilton College
59,Sat.,2013-11-02,Hamilton College,Bowdoin College,Hamilton College
60,Sat.,2013-09-21,Middlebury College,Colby College,Middlebury College
61,Sat.,2013-09-28,Middlebury College,Hamilton College,Hamilton College
62,Fri.,2013-10-04,Middlebury College,Wesleyan University,Wesleyan University
63,Sat.,2013-10-05,Middlebury College,Trinity College,Trinity College
64,Fri.,2013-10-11,Middlebury College,Amherst College,Middlebury College
65,Sat.,2013-10-12,Middlebury College,Williams College,Middlebury College
66,Fri.,2013-10-18,Middlebury College,Connecticut College,Connecticut College
67,Sat.,2013-10-19,Middlebury College,Tufts University,Tufts University
68,Fri.,2013-11-01,Middlebury College,Bowdoin College,Middlebury College
69,Sat.,2013-11-02,Middlebury College,Bates College,Middlebury College
70,Fri.,2013-09-20,Trinity College,Tufts University,Tufts University
71,Sat.,2013-09-21,Trinity College,Connecticut College,Connecticut College
72,Fri.,2013-09-27,Trinity College,Wesleyan University,Wesleyan University
73,Fri.,2013-10-04,Trinity College,Hamilton College,Trinity College
74,Sat.,2013-10-05,Trinity College,Middlebury College,Trinity College
75,Sat.,2013-10-12,Trinity College,Colby College,Colby College
76,Fri.,2013-10-18,Trinity College,Bates College,Bates College
77,Sat.,2013-10-19,Trinity College,Bowdoin College,Bowdoin College
78,Fri.,2013-11-01,Trinity College,Williams College,Trinity College
79,Sat.,2013-11-02,Trinity College,Amherst College,Trinity College
80,Fri.,2013-09-20,Tufts University,Trinity College,Tufts University
81,Sat.,2013-09-21,Tufts University,Wesleyan University,Tufts University
82,Sat.,2013-09-28,Tufts University,Connecticut College,Tufts University
83,Fri.,2013-10-04,Tufts University,Williams College,Williams College
84,Sat.,2013-10-05,Tufts University,Amherst College,Amherst College
85,Fri.,2013-10-11,Tufts University,Bates College,Bates College
86,Sat.,2013-10-12,Tufts University,Bowdoin College,Bowdoin College
87,Fri.,2013-10-18,Tufts University,Hamilton College,Tufts University
88,Sat.,2013-10-19,Tufts University,Middlebury College,Tufts University
89,Sat.,2013-11-02,Tufts University,Colby College,Tufts University
90,Fri.,2013-09-20,Wesleyan University,Connecticut College,Connecticut College
91,Sat.,2013-09-21,Wesleyan University,Tufts University,Tufts University
92,Fri.,2013-09-27,Wesleyan University,Trinity College,Wesleyan University
93,Fri.,2013-10-04,Wesleyan University,Middlebury College,Wesleyan University
94,Sat.,2013-10-05,Wesleyan University,Hamilton College,Wesleyan University
95,Fri.,2013-10-11,Wesleyan University,Colby College,Colby College
96,Fri.,2013-10-18,Wesleyan University,Bowdoin College,Bowdoin College
97,Sat.,2013-10-19,Wesleyan University,Bates College,Bates College
98,Fri.,2013-11-01,Wesleyan University,Amherst College,Wesleyan University
99,Sat.,2013-11-02,Wesleyan University,Williams College,Wesleyan University
100,Fri.,2013-09-20,Williams College,Bates College,Williams College
101,Sat.,2013-09-21,Williams College,Bowdoin College,Williams College
102,Thu.,2013-09-26,Williams College,Amherst College,Williams College
103,Fri.,2013-10-04,Williams College,Tufts University,Williams College
104,Sat.,2013-10-05,Williams College,Connecticut College,Williams College
105,Fri.,2013-10-11,Williams College,Hamilton College,Hamilton College
106,Sat.,2013-10-12,Williams College,Middlebury College,Middlebury College
107,Sat.,2013-10-19,Williams College,Colby College,Williams College
108,Fri.,2013-11-01,Williams College,Trinity College,Trinity College
109,Sat.,2013-11-02,Williams College,Wesleyan University,Wesleyan University
