,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2016-09-16,Amherst College,Bowdoin College,Bowdoin College
1,Sat.,2016-09-17,Amherst College,Tufts University,Tufts University
2,Fri.,2016-09-23,Amherst College,Williams College,Amherst College
3,Fri.,2016-09-30,Amherst College,Colby College,Amherst College
4,Sat.,2016-10-01,Amherst College,Bates College,Amherst College
5,Fri.,2016-10-07,Amherst College,Connecticut College,Connecticut College
6,Fri.,2016-10-14,Amherst College,Middlebury College,Middlebury College
7,Sat.,2016-10-15,Amherst College,Hamilton College,Hamilton College
8,Fri.,2016-10-28,Amherst College,Trinity College,Amherst College
9,Sat.,2016-10-29,Amherst College,Wesleyan University,Amherst College
10,Sat.,2016-09-17,Bates College,Connecticut College,Connecticut College
11,Fri.,2016-09-23,Bates College,Colby College,Colby College
12,Fri.,2016-09-30,Bates College,Williams College,Williams College
13,Sat.,2016-10-01,Bates College,Amherst College,Amherst College
14,Fri.,2016-10-07,Bates College,Wesleyan University,Bates College
15,Sat.,2016-10-08,Bates College,Trinity College,Bates College
16,Fri.,2016-10-14,Bates College,Tufts University,Tufts University
17,Sat.,2016-10-15,Bates College,Bowdoin College,Bowdoin College
18,Fri.,2016-10-28,Bates College,Hamilton College,Bates College
19,Sat.,2016-10-29,Bates College,Middlebury College,Bates College
20,Fri.,2016-09-16,Bowdoin College,Amherst College,Bowdoin College
21,Sat.,2016-09-17,Bowdoin College,Williams College,Bowdoin College
22,Sat.,2016-09-24,Bowdoin College,Tufts University,Tufts University
23,Fri.,2016-09-30,Bowdoin College,Trinity College,Trinity College
24,Sat.,2016-10-01,Bowdoin College,Wesleyan University,Wesleyan University
25,Fri.,2016-10-07,Bowdoin College,Middlebury College,Middlebury College
26,Sat.,2016-10-08,Bowdoin College,Hamilton College,Hamilton College
27,Fri.,2016-10-14,Bowdoin College,Colby College,Bowdoin College
28,Sat.,2016-10-15,Bowdoin College,Bates College,Bowdoin College
