,Day (Str),Date,Team 1,Team 2,Location
29,Fri.,2016-10-28,Bowdoin College,Connecticut College,Bowdoin College
30,Fri.,2016-09-16,Colby College,Connecticut College,Connecticut College
31,Fri.,2016-09-23,Colby College,Bates College,Colby College
32,Fri.,2016-09-30,Colby College,Amherst College,Amherst College
33,Sat.,2016-10-01,Colby College,Williams College,Williams College
34,Fri.,2016-10-07,Colby College,Trinity College,Colby College
35,Sat.,2016-10-08,Colby College,Wesleyan University,Colby College
36,Fri.,2016-10-14,Colby College,Bowdoin College,Bowdoin College
37,Sat.,2016-10-15,Colby College,Tufts University,Tufts University
38,Fri.,2016-10-28,Colby College,Middlebury College,Colby College
39,Sat.,2016-10-29,Colby College,Hamilton College,Colby College
40,Fri.,2016-09-16,Connecticut College,Colby College,Connecticut College
41,Sat.,2016-09-17,Connecticut College,Bates College,Connecticut College
42,Fri.,2016-09-30,Connecticut College,Middlebury College,Connecticut College
43,Sat.,2016-10-01,Connecticut College,Hamilton College,Connecticut College
44,Fri.,2016-10-07,Connecticut College,Amherst College,Connecticut College
45,Sat.,2016-10-08,Connecticut College,Williams College,Connecticut College
46,Fri.,2016-10-14,Connecticut College,Trinity College,Trinity College
47,Fri.,2016-10-21,Connecticut College,Wesleyan University,Wesleyan University
48,Fri.,2016-10-28,Connecticut College,Bowdoin College,Bowdoin College
49,Sat.,2016-10-29,Connecticut College,Tufts University,Tufts University
50,Fri.,2016-09-16,Hamilton College,Wesleyan University,Wesleyan University
51,Sat.,2016-09-17,Hamilton College,Trinity College,Trinity College
52,Fri.,2016-09-23,Hamilton College,Middlebury College,Middlebury College
53,Sat.,2016-10-01,Hamilton College,Connecticut College,Connecticut College
54,Fri.,2016-10-07,Hamilton College,Tufts University,Hamilton College
55,Sat.,2016-10-08,Hamilton College,Bowdoin College,Hamilton College
56,Fri.,2016-10-14,Hamilton College,Williams College,Hamilton College
57,Sat.,2016-10-15,Hamilton College,Amherst College,Hamilton College
58,Fri.,2016-10-28,Hamilton College,Bates College,Bates College
59,Sat.,2016-10-29,Hamilton College,Colby College,Colby College
60,Fri.,2016-09-16,Middlebury College,Trinity College,Trinity College
61,Sat.,2016-09-17,Middlebury College,Wesleyan University,Wesleyan University
62,Fri.,2016-09-23,Middlebury College,Hamilton College,Middlebury College
63,Fri.,2016-09-30,Middlebury College,Connecticut College,Connecticut College
64,Fri.,2016-10-07,Middlebury College,Bowdoin College,Middlebury College
65,Sat.,2016-10-08,Middlebury College,Tufts University,Middlebury College
66,Fri.,2016-10-14,Middlebury College,Amherst College,Middlebury College
67,Sat.,2016-10-15,Middlebury College,Williams College,Middlebury College
68,Fri.,2016-10-28,Middlebury College,Colby College,Colby College
69,Sat.,2016-10-29,Middlebury College,Bates College,Bates College
70,Fri.,2016-09-16,Trinity College,Middlebury College,Trinity College
71,Sat.,2016-09-17,Trinity College,Hamilton College,Trinity College
72,Fri.,2016-09-23,Trinity College,Wesleyan University,Trinity College
73,Fri.,2016-09-30,Trinity College,Bowdoin College,Trinity College
74,Sat.,2016-10-01,Trinity College,Tufts University,Trinity College
75,Fri.,2016-10-07,Trinity College,Colby College,Colby College
76,Sat.,2016-10-08,Trinity College,Bates College,Bates College
77,Fri.,2016-10-14,Trinity College,Connecticut College,Trinity College
78,Fri.,2016-10-28,Trinity College,Amherst College,Amherst College
79,Sat.,2016-10-29,Trinity College,Williams College,Williams College
80,Fri.,2016-09-16,Tufts University,Williams College,Tufts University
81,Sat.,2016-09-17,Tufts University,Amherst College,Tufts University
82,Sat.,2016-09-24,Tufts University,Bowdoin College,Tufts University
83,Fri.,2016-09-30,Tufts University,Wesleyan University,Wesleyan University
84,Sat.,2016-10-01,Tufts University,Trinity College,Trinity College
85,Fri.,2016-10-07,Tufts University,Hamilton College,Hamilton College
86,Sat.,2016-10-08,Tufts University,Middlebury College,Middlebury College
87,Fri.,2016-10-14,Tufts University,Bates College,Tufts University
88,Sat.,2016-10-15,Tufts University,Colby College,Tufts University
89,Sat.,2016-10-29,Tufts University,Connecticut College,Tufts University
90,Fri.,2016-09-16,Wesleyan University,Hamilton College,Wesleyan University
91,Sat.,2016-09-17,Wesleyan University,Middlebury College,Wesleyan University
92,Fri.,2016-09-23,Wesleyan University,Trinity College,Trinity College
93,Fri.,2016-09-30,Wesleyan University,Tufts University,Wesleyan University
94,Sat.,2016-10-01,Wesleyan University,Bowdoin College,Wesleyan University
95,Fri.,2016-10-07,Wesleyan University,Bates College,Bates College
96,Sat.,2016-10-08,Wesleyan University,Colby College,Colby College
97,Fri.,2016-10-21,Wesleyan University,Connecticut College,Wesleyan University
98,Fri.,2016-10-28,Wesleyan University,Williams College,Williams College
99,Sat.,2016-10-29,Wesleyan University,Amherst College,Amherst College
100,Fri.,2016-09-16,Williams College,Tufts University,Tufts University
101,Sat.,2016-09-17,Williams College,Bowdoin College,Bowdoin College
102,Fri.,2016-09-23,Williams College,Amherst College,Amherst College
103,Fri.,2016-09-30,Williams College,Bates College,Williams College
104,Sat.,2016-10-01,Williams College,Colby College,Williams College
105,Sat.,2016-10-08,Williams College,Connecticut College,Connecticut College
106,Fri.,2016-10-14,Williams College,Hamilton College,Hamilton College
107,Sat.,2016-10-15,Williams College,Middlebury College,Middlebury College
108,Fri.,2016-10-28,Williams College,Wesleyan University,Williams College
109,Sat.,2016-10-29,Williams College,Trinity College,Williams College
