,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2012-09-14,Amherst College,Bowdoin College,Bowdoin College
1,Sat.,2012-09-15,Amherst College,Tufts University,Tufts University
2,Fri.,2012-09-21,Amherst College,Trinity College,Amherst College
3,Sat.,2012-09-29,Amherst College,Hamilton College,Hamilton College
4,Fri.,2012-10-05,Amherst College,Wesleyan University,Amherst College
5,Sat.,2012-10-06,Amherst College,Connecticut College,Amherst College
6,Fri.,2012-10-12,Amherst College,Middlebury College,Amherst College
7,Sat.,2012-10-13,Amherst College,Williams College,Amherst College
8,Fri.,2012-10-26,Amherst College,Colby College,Colby College
9,Sat.,2012-10-27,Amherst College,Bates College,Bates College
10,Fri.,2012-09-14,Bates College,Hamilton College,Bates College
11,Fri.,2012-09-28,Bates College,Williams College,Williams College
12,Sat.,2012-09-29,Bates College,Middlebury College,Middlebury College
13,Fri.,2012-10-05,Bates College,Tufts University,Bates College
14,Sat.,2012-10-06,Bates College,Bowdoin College,Bates College
15,Tue.,2012-10-09,Bates College,Colby College,Bates College
16,Fri.,2012-10-12,Bates College,Connecticut College,Connecticut College
17,Sat.,2012-10-13,Bates College,Wesleyan University,Wesleyan University
18,Fri.,2012-10-26,Bates College,Trinity College,Bates College
19,Sat.,2012-10-27,Bates College,Amherst College,Bates College
20,Fri.,2012-09-14,Bowdoin College,Amherst College,Bowdoin College
21,Sat.,2012-09-15,Bowdoin College,Trinity College,Bowdoin College
22,Fri.,2012-09-28,Bowdoin College,Wesleyan University,Bowdoin College
23,Sat.,2012-09-29,Bowdoin College,Connecticut College,Bowdoin College
24,Fri.,2012-10-05,Bowdoin College,Colby College,Colby College
25,Sat.,2012-10-06,Bowdoin College,Bates College,Bates College
26,Sat.,2012-10-06,Bowdoin College,Tufts University,Bowdoin College
27,Sat.,2012-10-13,Bowdoin College,Hamilton College,Bowdoin College
28,Fri.,2012-10-26,Bowdoin College,Middlebury College,Middlebury College
29,Sat.,2012-10-27,Bowdoin College,Williams College,Williams College
30,Sat.,2012-09-15,Colby College,Hamilton College,Colby College
31,Fri.,2012-09-28,Colby College,Middlebury College,Middlebury College
32,Sat.,2012-09-29,Colby College,Williams College,Williams College
33,Fri.,2012-10-05,Colby College,Bowdoin College,Colby College
34,Sat.,2012-10-06,Colby College,Tufts University,Colby College
35,Tue.,2012-10-09,Colby College,Bates College,Bates College
36,Fri.,2012-10-12,Colby College,Wesleyan University,Wesleyan University
37,Sat.,2012-10-13,Colby College,Connecticut College,Connecticut College
38,Fri.,2012-10-26,Colby College,Amherst College,Colby College
39,Sat.,2012-10-27,Colby College,Trinity College,Colby College
40,Fri.,2012-09-14,Connecticut College,Williams College,Connecticut College
41,Sat.,2012-09-15,Connecticut College,Middlebury College,Connecticut College
42,Wed.,2012-09-19,Connecticut College,Wesleyan University,Wesleyan University
43,Fri.,2012-09-28,Connecticut College,Tufts University,Tufts University
44,Sat.,2012-09-29,Connecticut College,Bowdoin College,Bowdoin College
45,Fri.,2012-10-05,Connecticut College,Trinity College,Trinity College
46,Sat.,2012-10-06,Connecticut College,Amherst College,Amherst College
47,Fri.,2012-10-12,Connecticut College,Bates College,Connecticut College
