,Day (Str),Date,Team 1,Team 2,Location
48,Sat.,2012-10-13,Connecticut College,Colby College,Connecticut College
49,Fri.,2012-10-26,Connecticut College,Hamilton College,Connecticut College
50,Fri.,2012-09-14,Hamilton College,Bates College,Bates College
51,Sat.,2012-09-15,Hamilton College,Colby College,Colby College
52,Fri.,2012-09-28,Hamilton College,Trinity College,Hamilton College
53,Sat.,2012-09-29,Hamilton College,Amherst College,Hamilton College
54,Fri.,2012-10-05,Hamilton College,Williams College,Hamilton College
55,Sat.,2012-10-06,Hamilton College,Middlebury College,Hamilton College
56,Fri.,2012-10-12,Hamilton College,Tufts University,Tufts University
57,Sat.,2012-10-13,Hamilton College,Bowdoin College,Bowdoin College
58,Fri.,2012-10-26,Hamilton College,Connecticut College,Connecticut College
59,Sat.,2012-10-27,Hamilton College,Wesleyan University,Wesleyan University
60,Fri.,2012-09-14,Middlebury College,Wesleyan University,Wesleyan University
61,Sat.,2012-09-15,Middlebury College,Connecticut College,Connecticut College
62,Wed.,2012-09-26,Middlebury College,Williams College,Middlebury College
63,Fri.,2012-09-28,Middlebury College,Colby College,Middlebury College
64,Sat.,2012-09-29,Middlebury College,Bates College,Middlebury College
65,Sat.,2012-10-06,Middlebury College,Hamilton College,Hamilton College
66,Fri.,2012-10-12,Middlebury College,Amherst College,Amherst College
67,Sat.,2012-10-13,Middlebury College,Trinity College,Trinity College
68,Fri.,2012-10-26,Middlebury College,Bowdoin College,Middlebury College
69,Sat.,2012-10-27,Middlebury College,Tufts University,Middlebury College
70,Fri.,2012-09-14,Trinity College,Tufts University,Tufts University
71,Sat.,2012-09-15,Trinity College,Bowdoin College,Bowdoin College
72,Fri.,2012-09-21,Trinity College,Amherst College,Amherst College
73,Fri.,2012-09-28,Trinity College,Hamilton College,Hamilton College
74,Fri.,2012-10-05,Trinity College,Connecticut College,Trinity College
75,Sat.,2012-10-06,Trinity College,Wesleyan University,Trinity College
76,Fri.,2012-10-12,Trinity College,Williams College,Trinity College
77,Sat.,2012-10-13,Trinity College,Middlebury College,Trinity College
78,Fri.,2012-10-26,Trinity College,Bates College,Bates College
79,Sat.,2012-10-27,Trinity College,Colby College,Colby College
80,Fri.,2012-09-14,Tufts University,Trinity College,Tufts University
81,Sat.,2012-09-15,Tufts University,Amherst College,Tufts University
82,Fri.,2012-09-28,Tufts University,Connecticut College,Tufts University
83,Sat.,2012-09-29,Tufts University,Wesleyan University,Tufts University
84,Fri.,2012-10-05,Tufts University,Bates College,Bates College
85,Sat.,2012-10-06,Tufts University,Bowdoin College,Bowdoin College
86,Sat.,2012-10-06,Tufts University,Colby College,Colby College
87,Fri.,2012-10-12,Tufts University,Hamilton College,Tufts University
88,Fri.,2012-10-26,Tufts University,Williams College,Williams College
89,Sat.,2012-10-27,Tufts University,Middlebury College,Middlebury College
90,Fri.,2012-09-14,Wesleyan University,Middlebury College,Wesleyan University
91,Sat.,2012-09-15,Wesleyan University,Williams College,Wesleyan University
92,Wed.,2012-09-19,Wesleyan University,Connecticut College,Wesleyan University
93,Fri.,2012-09-28,Wesleyan University,Bowdoin College,Bowdoin College
94,Sat.,2012-09-29,Wesleyan University,Tufts University,Tufts University
95,Fri.,2012-10-05,Wesleyan University,Amherst College,Amherst College
96,Sat.,2012-10-06,Wesleyan University,Trinity College,Trinity College
97,Fri.,2012-10-12,Wesleyan University,Colby College,Wesleyan University
98,Sat.,2012-10-13,Wesleyan University,Bates College,Wesleyan University
99,Sat.,2012-10-27,Wesleyan University,Hamilton College,Wesleyan University
100,Fri.,2012-09-14,Williams College,Connecticut College,Connecticut College
101,Sat.,2012-09-15,Williams College,Wesleyan University,Wesleyan University
102,Wed.,2012-09-26,Williams College,Middlebury College,Middlebury College
103,Fri.,2012-09-28,Williams College,Bates College,Williams College
104,Sat.,2012-09-29,Williams College,Colby College,Williams College
105,Fri.,2012-10-05,Williams College,Hamilton College,Hamilton College
106,Fri.,2012-10-12,Williams College,Trinity College,Trinity College
107,Sat.,2012-10-13,Williams College,Amherst College,Amherst College
108,Fri.,2012-10-26,Williams College,Tufts University,Williams College
109,Sat.,2012-10-27,Williams College,Bowdoin College,Williams College
