,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2012-09-14,Bates College,Hamilton College,Bates College
1,Fri.,2012-09-14,Bowdoin College,Amherst College,Bowdoin College
2,Fri.,2012-09-14,Connecticut College,Williams College,Connecticut College
3,Fri.,2012-09-14,Tufts University,Trinity College,Tufts University
4,Fri.,2012-09-14,Wesleyan University,Middlebury College,Wesleyan University
5,Sat.,2012-09-15,Bowdoin College,Trinity College,Bowdoin College
6,Sat.,2012-09-15,Colby College,Hamilton College,Colby College
7,Sat.,2012-09-15,Connecticut College,Middlebury College,Connecticut College
8,Sat.,2012-09-15,Tufts University,Amherst College,Tufts University
9,Sat.,2012-09-15,Wesleyan University,Williams College,Wesleyan University
10,Wed.,2012-09-19,Wesleyan University,Connecticut College,Wesleyan University
11,Fri.,2012-09-21,Amherst College,Trinity College,Amherst College
12,Wed.,2012-09-26,Middlebury College,Williams College,Middlebury College
13,Fri.,2012-09-28,Bowdoin College,Wesleyan University,Bowdoin College
14,Fri.,2012-09-28,Hamilton College,Trinity College,Hamilton College
15,Fri.,2012-09-28,Middlebury College,Colby College,Middlebury College
16,Fri.,2012-09-28,Tufts University,Connecticut College,Tufts University
17,Fri.,2012-09-28,Williams College,Bates College,Williams College
18,Sat.,2012-09-29,Bowdoin College,Connecticut College,Bowdoin College
19,Sat.,2012-09-29,Hamilton College,Amherst College,Hamilton College
20,Sat.,2012-09-29,Middlebury College,Bates College,Middlebury College
21,Sat.,2012-09-29,Tufts University,Wesleyan University,Tufts University
22,Sat.,2012-09-29,Williams College,Colby College,Williams College
23,Fri.,2012-10-05,Amherst College,Wesleyan University,Amherst College
24,Fri.,2012-10-05,Bates College,Tufts University,Bates College
25,Fri.,2012-10-05,Colby College,Bowdoin College,Colby College
26,Fri.,2012-10-05,Hamilton College,Williams College,Hamilton College
27,Fri.,2012-10-05,Trinity College,Connecticut College,Trinity College
28,Sat.,2012-10-06,Amherst College,Connecticut College,Amherst College
29,Sat.,2012-10-06,Bates College,Bowdoin College,Bates College
30,Sat.,2012-10-06,Bowdoin College,Tufts University,Bowdoin College
31,Sat.,2012-10-06,Colby College,Tufts University,Colby College
32,Sat.,2012-10-06,Hamilton College,Middlebury College,Hamilton College
33,Sat.,2012-10-06,Trinity College,Wesleyan University,Trinity College
34,Tue.,2012-10-09,Bates College,Colby College,Bates College
35,Fri.,2012-10-12,Amherst College,Middlebury College,Amherst College
36,Fri.,2012-10-12,Connecticut College,Bates College,Connecticut College
37,Fri.,2012-10-12,Trinity College,Williams College,Trinity College
38,Fri.,2012-10-12,Tufts University,Hamilton College,Tufts University
39,Fri.,2012-10-12,Wesleyan University,Colby College,Wesleyan University
40,Sat.,2012-10-13,Amherst College,Williams College,Amherst College
41,Sat.,2012-10-13,Bowdoin College,Hamilton College,Bowdoin College
42,Sat.,2012-10-13,Connecticut College,Colby College,Connecticut College
43,Sat.,2012-10-13,Trinity College,Middlebury College,Trinity College
44,Sat.,2012-10-13,Wesleyan University,Bates College,Wesleyan University
45,Fri.,2012-10-26,Bates College,Trinity College,Bates College
46,Fri.,2012-10-26,Colby College,Amherst College,Colby College
47,Fri.,2012-10-26,Connecticut College,Hamilton College,Connecticut College
48,Fri.,2012-10-26,Middlebury College,Bowdoin College,Middlebury College
49,Fri.,2012-10-26,Williams College,Tufts University,Williams College
50,Sat.,2012-10-27,Bates College,Amherst College,Bates College
51,Sat.,2012-10-27,Colby College,Trinity College,Colby College
52,Sat.,2012-10-27,Middlebury College,Tufts University,Middlebury College
53,Sat.,2012-10-27,Wesleyan University,Hamilton College,Wesleyan University
54,Sat.,2012-10-27,Williams College,Bowdoin College,Williams College
