,Day (Str),Date,Team 1,Team 2,Location
80,Fri.,2010-09-17,Tufts University,Bates College,Colby College
81,Sat.,2010-09-18,Tufts University,Colby College,Colby College
82,Fri.,2010-10-01,Tufts University,Connecticut College,Wesleyan University
83,Sat.,2010-10-02,Tufts University,Trinity College,Wesleyan University
84,Sat.,2010-10-02,Tufts University,Wesleyan University,Wesleyan University
85,Fri.,2010-10-08,Tufts University,Amherst College,Middlebury College
86,Sat.,2010-10-09,Tufts University,Middlebury College,Middlebury College
87,Wed.,2010-10-13,Tufts University,Bowdoin College,Bowdoin College
88,Fri.,2010-10-15,Tufts University,Williams College,Tufts University
89,Sat.,2010-10-16,Tufts University,Hamilton College,Tufts University
90,Sat.,2010-09-18,Wesleyan University,Williams College,Connecticut College
91,Sat.,2010-09-18,Wesleyan University,Hamilton College,Connecticut College
92,Fri.,2010-10-01,Wesleyan University,Bowdoin College,Wesleyan University
93,Sat.,2010-10-02,Wesleyan University,Tufts University,Wesleyan University
94,Fri.,2010-10-08,Wesleyan University,Trinity College,Wesleyan University
95,Sat.,2010-10-09,Wesleyan University,Connecticut College,Connecticut College
96,Fri.,2010-10-15,Wesleyan University,Middlebury College,Amherst College
97,Sat.,2010-10-16,Wesleyan University,Amherst College,Amherst College
98,Fri.,2010-10-29,Wesleyan University,Bates College,Trinity College
99,Sat.,2010-10-30,Wesleyan University,Colby College,Trinity College
100,Fri.,2010-09-17,Williams College,Connecticut College,Connecticut College
101,Sat.,2010-09-18,Williams College,Trinity College,Connecticut College
102,Sat.,2010-09-18,Williams College,Wesleyan University,Connecticut College
103,Fri.,2010-10-08,Williams College,Colby College,Williams College
104,Sat.,2010-10-09,Williams College,Bates College,Williams College
105,Sat.,2010-10-09,Williams College,Hamilton College,Williams College
106,Fri.,2010-10-15,Williams College,Tufts University,Tufts University
107,Sat.,2010-10-16,Williams College,Bowdoin College,Tufts University
108,Fri.,2010-10-29,Williams College,Amherst College,Hamilton College
109,Sat.,2010-10-30,Williams College,Middlebury College,Hamilton College
