,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2010-09-17,Amherst College,Middlebury College,Middlebury College
1,Fri.,2010-10-01,Amherst College,Bates College,Bates College
2,Sat.,2010-10-02,Amherst College,Colby College,Bates College
3,Fri.,2010-10-08,Amherst College,Tufts University,Middlebury College
4,Sat.,2010-10-09,Amherst College,Bowdoin College,Middlebury College
5,Fri.,2010-10-15,Amherst College,Trinity College,Amherst College
6,Sat.,2010-10-16,Amherst College,Wesleyan University,Amherst College
7,Sat.,2010-10-16,Amherst College,Connecticut College,Amherst College
8,Fri.,2010-10-29,Amherst College,Williams College,Hamilton College
9,Sat.,2010-10-30,Amherst College,Hamilton College,Hamilton College
10,Fri.,2010-09-17,Bates College,Tufts University,Colby College
11,Sat.,2010-09-18,Bates College,Bowdoin College,Colby College
12,Fri.,2010-10-01,Bates College,Amherst College,Bates College
13,Sat.,2010-10-02,Bates College,Middlebury College,Bates College
14,Fri.,2010-10-08,Bates College,Hamilton College,Williams College
15,Sat.,2010-10-09,Bates College,Williams College,Williams College
16,Tue.,2010-10-19,Bates College,Colby College,Colby College
17,Fri.,2010-10-29,Bates College,Wesleyan University,Trinity College
18,Sat.,2010-10-30,Bates College,Connecticut College,Trinity College
19,Sat.,2010-10-30,Bates College,Trinity College,Trinity College
20,Fri.,2010-09-17,Bowdoin College,Colby College,Colby College
21,Sat.,2010-09-18,Bowdoin College,Bates College,Colby College
22,Fri.,2010-10-01,Bowdoin College,Wesleyan University,Wesleyan University
23,Sat.,2010-10-02,Bowdoin College,Connecticut College,Wesleyan University
24,Sat.,2010-10-02,Bowdoin College,Trinity College,Wesleyan University
25,Fri.,2010-10-08,Bowdoin College,Middlebury College,Middlebury College
26,Sat.,2010-10-09,Bowdoin College,Amherst College,Middlebury College
27,Wed.,2010-10-13,Bowdoin College,Tufts University,Bowdoin College
28,Fri.,2010-10-15,Bowdoin College,Hamilton College,Tufts University
29,Sat.,2010-10-16,Bowdoin College,Williams College,Tufts University
30,Fri.,2010-09-17,Colby College,Bowdoin College,Colby College
31,Sat.,2010-09-18,Colby College,Tufts University,Colby College
32,Fri.,2010-10-01,Colby College,Middlebury College,Bates College
33,Sat.,2010-10-02,Colby College,Amherst College,Bates College
34,Fri.,2010-10-08,Colby College,Williams College,Williams College
35,Sat.,2010-10-09,Colby College,Hamilton College,Williams College
36,Tue.,2010-10-19,Colby College,Bates College,Colby College
37,Fri.,2010-10-29,Colby College,Trinity College,Trinity College
38,Sat.,2010-10-30,Colby College,Connecticut College,Trinity College
39,Sat.,2010-10-30,Colby College,Wesleyan University,Trinity College
40,Fri.,2010-09-17,Connecticut College,Williams College,Connecticut College
41,Sat.,2010-09-18,Connecticut College,Hamilton College,Connecticut College
42,Fri.,2010-10-01,Connecticut College,Tufts University,Wesleyan University
43,Sat.,2010-10-02,Connecticut College,Bowdoin College,Wesleyan University
44,Sat.,2010-10-09,Connecticut College,Wesleyan University,Connecticut College
45,Sun.,2010-10-10,Connecticut College,Trinity College,Trinity College
46,Sat.,2010-10-16,Connecticut College,Amherst College,Amherst College
47,Sat.,2010-10-16,Connecticut College,Middlebury College,Amherst College
48,Sat.,2010-10-30,Connecticut College,Bates College,Trinity College
49,Sat.,2010-10-30,Connecticut College,Colby College,Trinity College
50,Fri.,2010-09-17,Hamilton College,Trinity College,Connecticut College
51,Sat.,2010-09-18,Hamilton College,Connecticut College,Connecticut College
52,Sat.,2010-09-18,Hamilton College,Wesleyan University,Connecticut College
53,Fri.,2010-10-08,Hamilton College,Bates College,Williams College
54,Sat.,2010-10-09,Hamilton College,Colby College,Williams College
55,Sat.,2010-10-09,Hamilton College,Williams College,Williams College
56,Fri.,2010-10-15,Hamilton College,Bowdoin College,Tufts University
57,Sat.,2010-10-16,Hamilton College,Tufts University,Tufts University
58,Fri.,2010-10-29,Hamilton College,Middlebury College,Hamilton College
59,Sat.,2010-10-30,Hamilton College,Amherst College,Hamilton College
60,Fri.,2010-09-17,Middlebury College,Amherst College,Middlebury College
61,Fri.,2010-10-01,Middlebury College,Colby College,Bates College
62,Sat.,2010-10-02,Middlebury College,Bates College,Bates College
63,Fri.,2010-10-08,Middlebury College,Bowdoin College,Middlebury College
64,Sat.,2010-10-09,Middlebury College,Tufts University,Middlebury College
65,Fri.,2010-10-15,Middlebury College,Wesleyan University,Amherst College
66,Sat.,2010-10-16,Middlebury College,Connecticut College,Amherst College
67,Sat.,2010-10-16,Middlebury College,Trinity College,Amherst College
68,Fri.,2010-10-29,Middlebury College,Hamilton College,Hamilton College
69,Sat.,2010-10-30,Middlebury College,Williams College,Hamilton College
70,Fri.,2010-09-17,Trinity College,Hamilton College,Connecticut College
71,Sat.,2010-09-18,Trinity College,Williams College,Connecticut College
72,Sat.,2010-10-02,Trinity College,Tufts University,Wesleyan University
73,Sat.,2010-10-02,Trinity College,Bowdoin College,Wesleyan University
74,Fri.,2010-10-08,Trinity College,Wesleyan University,Wesleyan University
75,Sun.,2010-10-10,Trinity College,Connecticut College,Trinity College
76,Fri.,2010-10-15,Trinity College,Amherst College,Amherst College
77,Sat.,2010-10-16,Trinity College,Middlebury College,Amherst College
78,Fri.,2010-10-29,Trinity College,Colby College,Trinity College
79,Sat.,2010-10-30,Trinity College,Bates College,Trinity College
