,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2017-09-15,Amherst College,Middlebury College,Amherst College
1,Fri.,2017-09-15,Bowdoin College,Colby College,Bowdoin College
2,Fri.,2017-09-15,Hamilton College,Connecticut College,Hamilton College
3,Fri.,2017-09-15,Tufts University,Bates College,Tufts University
4,Fri.,2017-09-15,Williams College,Wesleyan University,Williams College
5,Sat.,2017-09-16,Bowdoin College,Bates College,Bowdoin College
6,Sat.,2017-09-16,Hamilton College,Wesleyan University,Hamilton College
7,Sat.,2017-09-16,Trinity College,Middlebury College,Trinity College
8,Sat.,2017-09-16,Tufts University,Colby College,Tufts University
9,Sat.,2017-09-16,Williams College,Connecticut College,Williams College
10,Tue.,2017-09-19,Bowdoin College,Tufts University,Bowdoin College
11,Thu.,2017-09-21,Wesleyan University,Connecticut College,Wesleyan University
12,Fri.,2017-09-22,Colby College,Bates College,Colby College
13,Fri.,2017-09-22,Hamilton College,Williams College,Hamilton College
14,Fri.,2017-09-22,Trinity College,Amherst College,Trinity College
15,Fri.,2017-09-29,Bowdoin College,Williams College,Bowdoin College
16,Fri.,2017-09-29,Connecticut College,Amherst College,Connecticut College
17,Fri.,2017-09-29,Middlebury College,Bates College,Middlebury College
18,Fri.,2017-09-29,Tufts University,Hamilton College,Tufts University
19,Fri.,2017-09-29,Wesleyan University,Trinity College,Wesleyan University
20,Sat.,2017-09-30,Bowdoin College,Hamilton College,Bowdoin College
21,Sat.,2017-09-30,Connecticut College,Trinity College,Connecticut College
22,Sat.,2017-09-30,Middlebury College,Colby College,Middlebury College
23,Sat.,2017-09-30,Tufts University,Williams College,Tufts University
24,Sat.,2017-09-30,Wesleyan University,Amherst College,Wesleyan University
25,Fri.,2017-10-06,Amherst College,Tufts University,Amherst College
26,Fri.,2017-10-06,Bates College,Hamilton College,Bates College
27,Fri.,2017-10-06,Colby College,Williams College,Colby College
28,Fri.,2017-10-06,Middlebury College,Connecticut College,Middlebury College
29,Fri.,2017-10-06,Trinity College,Bowdoin College,Trinity College
30,Sat.,2017-10-07,Amherst College,Bowdoin College,Amherst College
31,Sat.,2017-10-07,Bates College,Williams College,Bates College
32,Sat.,2017-10-07,Colby College,Hamilton College,Colby College
33,Sat.,2017-10-07,Middlebury College,Wesleyan University,Middlebury College
34,Sat.,2017-10-07,Trinity College,Tufts University,Trinity College
35,Fri.,2017-10-13,Bates College,Connecticut College,Bates College
36,Fri.,2017-10-13,Colby College,Wesleyan University,Colby College
37,Fri.,2017-10-13,Hamilton College,Amherst College,Hamilton College
38,Fri.,2017-10-13,Tufts University,Middlebury College,Tufts University
39,Fri.,2017-10-13,Williams College,Trinity College,Williams College
40,Sat.,2017-10-14,Bates College,Wesleyan University,Bates College
41,Sat.,2017-10-14,Bowdoin College,Middlebury College,Bowdoin College
42,Sat.,2017-10-14,Colby College,Connecticut College,Colby College
43,Sat.,2017-10-14,Hamilton College,Trinity College,Hamilton College
44,Sat.,2017-10-14,Williams College,Amherst College,Williams College
45,Fri.,2017-10-27,Amherst College,Bates College,Amherst College
46,Fri.,2017-10-27,Connecticut College,Tufts University,Connecticut College
47,Fri.,2017-10-27,Hamilton College,Middlebury College,Hamilton College
48,Fri.,2017-10-27,Trinity College,Colby College,Trinity College
49,Fri.,2017-10-27,Wesleyan University,Bowdoin College,Wesleyan University
50,Sat.,2017-10-28,Amherst College,Colby College,Amherst College
51,Sat.,2017-10-28,Connecticut College,Bowdoin College,Connecticut College
52,Sat.,2017-10-28,Trinity College,Bates College,Trinity College
53,Sat.,2017-10-28,Wesleyan University,Tufts University,Wesleyan University
54,Sat.,2017-10-28,Williams College,Middlebury College,Williams College
