,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2016-09-16,Bowdoin College,Amherst College,Bowdoin College
1,Fri.,2016-09-16,Connecticut College,Colby College,Connecticut College
2,Fri.,2016-09-16,Trinity College,Middlebury College,Trinity College
3,Fri.,2016-09-16,Tufts University,Williams College,Tufts University
4,Fri.,2016-09-16,Wesleyan University,Hamilton College,Wesleyan University
5,Sat.,2016-09-17,Bowdoin College,Williams College,Bowdoin College
6,Sat.,2016-09-17,Connecticut College,Bates College,Connecticut College
7,Sat.,2016-09-17,Trinity College,Hamilton College,Trinity College
8,Sat.,2016-09-17,Tufts University,Amherst College,Tufts University
9,Sat.,2016-09-17,Wesleyan University,Middlebury College,Wesleyan University
10,Fri.,2016-09-23,Amherst College,Williams College,Amherst College
11,Fri.,2016-09-23,Colby College,Bates College,Colby College
12,Fri.,2016-09-23,Middlebury College,Hamilton College,Middlebury College
13,Fri.,2016-09-23,Trinity College,Wesleyan University,Trinity College
14,Sat.,2016-09-24,Tufts University,Bowdoin College,Tufts University
15,Fri.,2016-09-30,Amherst College,Colby College,Amherst College
16,Fri.,2016-09-30,Connecticut College,Middlebury College,Connecticut College
17,Fri.,2016-09-30,Trinity College,Bowdoin College,Trinity College
18,Fri.,2016-09-30,Wesleyan University,Tufts University,Wesleyan University
19,Fri.,2016-09-30,Williams College,Bates College,Williams College
20,Sat.,2016-10-01,Amherst College,Bates College,Amherst College
21,Sat.,2016-10-01,Connecticut College,Hamilton College,Connecticut College
22,Sat.,2016-10-01,Trinity College,Tufts University,Trinity College
23,Sat.,2016-10-01,Wesleyan University,Bowdoin College,Wesleyan University
24,Sat.,2016-10-01,Williams College,Colby College,Williams College
25,Fri.,2016-10-07,Bates College,Wesleyan University,Bates College
26,Fri.,2016-10-07,Colby College,Trinity College,Colby College
27,Fri.,2016-10-07,Connecticut College,Amherst College,Connecticut College
28,Fri.,2016-10-07,Hamilton College,Tufts University,Hamilton College
29,Fri.,2016-10-07,Middlebury College,Bowdoin College,Middlebury College
30,Sat.,2016-10-08,Bates College,Trinity College,Bates College
31,Sat.,2016-10-08,Colby College,Wesleyan University,Colby College
32,Sat.,2016-10-08,Connecticut College,Williams College,Connecticut College
33,Sat.,2016-10-08,Hamilton College,Bowdoin College,Hamilton College
34,Sat.,2016-10-08,Middlebury College,Tufts University,Middlebury College
35,Fri.,2016-10-14,Bowdoin College,Colby College,Bowdoin College
36,Fri.,2016-10-14,Hamilton College,Williams College,Hamilton College
37,Fri.,2016-10-14,Middlebury College,Amherst College,Middlebury College
38,Fri.,2016-10-14,Trinity College,Connecticut College,Trinity College
39,Fri.,2016-10-14,Tufts University,Bates College,Tufts University
40,Sat.,2016-10-15,Bowdoin College,Bates College,Bowdoin College
41,Sat.,2016-10-15,Hamilton College,Amherst College,Hamilton College
42,Sat.,2016-10-15,Middlebury College,Williams College,Middlebury College
43,Sat.,2016-10-15,Tufts University,Colby College,Tufts University
44,Fri.,2016-10-21,Wesleyan University,Connecticut College,Wesleyan University
45,Fri.,2016-10-28,Amherst College,Trinity College,Amherst College
46,Fri.,2016-10-28,Bates College,Hamilton College,Bates College
47,Fri.,2016-10-28,Bowdoin College,Connecticut College,Bowdoin College
48,Fri.,2016-10-28,Colby College,Middlebury College,Colby College
49,Fri.,2016-10-28,Williams College,Wesleyan University,Williams College
50,Sat.,2016-10-29,Amherst College,Wesleyan University,Amherst College
51,Sat.,2016-10-29,Bates College,Middlebury College,Bates College
52,Sat.,2016-10-29,Colby College,Hamilton College,Colby College
53,Sat.,2016-10-29,Tufts University,Connecticut College,Tufts University
54,Sat.,2016-10-29,Williams College,Trinity College,Williams College
