,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2015-09-18,Amherst College,Connecticut College,Amherst College
1,Fri.,2015-09-18,Bates College,Wesleyan University,Bates College
2,Fri.,2015-09-18,Colby College,Trinity College,Colby College
3,Fri.,2015-09-18,Middlebury College,Bowdoin College,Middlebury College
4,Fri.,2015-09-18,Williams College,Tufts University,Williams College
5,Sat.,2015-09-19,Amherst College,Tufts University,Amherst College
6,Sat.,2015-09-19,Bates College,Trinity College,Bates College
7,Sat.,2015-09-19,Colby College,Wesleyan University,Colby College
8,Sat.,2015-09-19,Hamilton College,Bowdoin College,Hamilton College
9,Sat.,2015-09-19,Williams College,Connecticut College,Williams College
10,Wed.,2015-09-23,Williams College,Amherst College,Williams College
11,Fri.,2015-09-25,Bates College,Colby College,Bates College
12,Fri.,2015-09-25,Hamilton College,Middlebury College,Hamilton College
13,Fri.,2015-09-25,Tufts University,Connecticut College,Tufts University
14,Fri.,2015-09-25,Wesleyan University,Trinity College,Wesleyan University
15,Fri.,2015-10-02,Amherst College,Colby College,Amherst College
16,Fri.,2015-10-02,Bowdoin College,Connecticut College,Bowdoin College
17,Fri.,2015-10-02,Trinity College,Middlebury College,Trinity College
18,Fri.,2015-10-02,Wesleyan University,Hamilton College,Wesleyan University
19,Fri.,2015-10-02,Williams College,Bates College,Williams College
20,Sat.,2015-10-03,Amherst College,Bates College,Amherst College
21,Sat.,2015-10-03,Bowdoin College,Tufts University,Bowdoin College
22,Sat.,2015-10-03,Trinity College,Hamilton College,Trinity College
23,Sat.,2015-10-03,Wesleyan University,Middlebury College,Wesleyan University
24,Sat.,2015-10-03,Williams College,Colby College,Williams College
25,Fri.,2015-10-09,Bowdoin College,Trinity College,Bowdoin College
26,Fri.,2015-10-09,Connecticut College,Colby College,Connecticut College
27,Fri.,2015-10-09,Hamilton College,Williams College,Hamilton College
28,Fri.,2015-10-09,Middlebury College,Amherst College,Middlebury College
29,Fri.,2015-10-09,Tufts University,Bates College,Tufts University
30,Sat.,2015-10-10,Bowdoin College,Wesleyan University,Bowdoin College
31,Sat.,2015-10-10,Connecticut College,Bates College,Connecticut College
32,Sat.,2015-10-10,Hamilton College,Amherst College,Hamilton College
33,Sat.,2015-10-10,Middlebury College,Williams College,Middlebury College
34,Sat.,2015-10-10,Tufts University,Colby College,Tufts University
35,Fri.,2015-10-16,Amherst College,Bowdoin College,Amherst College
36,Fri.,2015-10-16,Bates College,Hamilton College,Bates College
37,Fri.,2015-10-16,Colby College,Middlebury College,Colby College
38,Fri.,2015-10-16,Connecticut College,Trinity College,Connecticut College
39,Fri.,2015-10-16,Tufts University,Wesleyan University,Tufts University
40,Sat.,2015-10-17,Bates College,Middlebury College,Bates College
41,Sat.,2015-10-17,Colby College,Hamilton College,Colby College
42,Sat.,2015-10-17,Connecticut College,Wesleyan University,Connecticut College
43,Sat.,2015-10-17,Tufts University,Trinity College,Tufts University
44,Sat.,2015-10-17,Williams College,Bowdoin College,Williams College
45,Fri.,2015-10-30,Colby College,Bowdoin College,Colby College
46,Fri.,2015-10-30,Hamilton College,Tufts University,Hamilton College
47,Fri.,2015-10-30,Middlebury College,Connecticut College,Middlebury College
48,Fri.,2015-10-30,Trinity College,Amherst College,Trinity College
49,Fri.,2015-10-30,Wesleyan University,Williams College,Wesleyan University
50,Sat.,2015-10-31,Bates College,Bowdoin College,Bates College
51,Sat.,2015-10-31,Hamilton College,Connecticut College,Hamilton College
52,Sat.,2015-10-31,Middlebury College,Tufts University,Middlebury College
53,Sat.,2015-10-31,Trinity College,Williams College,Trinity College
54,Sat.,2015-10-31,Wesleyan University,Amherst College,Wesleyan University
