,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2017-09-15,Amherst College,Middlebury College,Amherst College
1,Fri.,2017-09-22,Amherst College,Trinity College,Trinity College
2,Fri.,2017-09-29,Amherst College,Connecticut College,Connecticut College
3,Sat.,2017-09-30,Amherst College,Wesleyan University,Wesleyan University
4,Fri.,2017-10-06,Amherst College,Tufts University,Amherst College
5,Sat.,2017-10-07,Amherst College,Bowdoin College,Amherst College
6,Fri.,2017-10-13,Amherst College,Hamilton College,Hamilton College
7,Sat.,2017-10-14,Amherst College,Williams College,Williams College
8,Fri.,2017-10-27,Amherst College,Bates College,Amherst College
9,Sat.,2017-10-28,Amherst College,Colby College,Amherst College
10,Fri.,2017-09-15,Bates College,Tufts University,Tufts University
11,Sat.,2017-09-16,Bates College,Bowdoin College,Bowdoin College
12,Fri.,2017-09-22,Bates College,Colby College,Colby College
13,Fri.,2017-09-29,Bates College,Middlebury College,Middlebury College
14,Fri.,2017-10-06,Bates College,Hamilton College,Bates College
15,Sat.,2017-10-07,Bates College,Williams College,Bates College
16,Fri.,2017-10-13,Bates College,Connecticut College,Bates College
17,Sat.,2017-10-14,Bates College,Wesleyan University,Bates College
18,Fri.,2017-10-27,Bates College,Amherst College,Amherst College
19,Sat.,2017-10-28,Bates College,Trinity College,Trinity College
20,Fri.,2017-09-15,Bowdoin College,Colby College,Bowdoin College
21,Sat.,2017-09-16,Bowdoin College,Bates College,Bowdoin College
22,Tue.,2017-09-19,Bowdoin College,Tufts University,Bowdoin College
23,Fri.,2017-09-29,Bowdoin College,Williams College,Bowdoin College
24,Sat.,2017-09-30,Bowdoin College,Hamilton College,Bowdoin College
25,Fri.,2017-10-06,Bowdoin College,Trinity College,Trinity College
26,Sat.,2017-10-07,Bowdoin College,Amherst College,Amherst College
27,Sat.,2017-10-14,Bowdoin College,Middlebury College,Bowdoin College
28,Fri.,2017-10-27,Bowdoin College,Wesleyan University,Wesleyan University
29,Sat.,2017-10-28,Bowdoin College,Connecticut College,Connecticut College
30,Fri.,2017-09-15,Colby College,Bowdoin College,Bowdoin College
31,Sat.,2017-09-16,Colby College,Tufts University,Tufts University
32,Fri.,2017-09-22,Colby College,Bates College,Colby College
33,Sat.,2017-09-30,Colby College,Middlebury College,Middlebury College
