,Day (Str),Date,Team 1,Team 2,Location
34,Fri.,2017-10-06,Colby College,Williams College,Colby College
35,Sat.,2017-10-07,Colby College,Hamilton College,Colby College
36,Fri.,2017-10-13,Colby College,Wesleyan University,Colby College
37,Sat.,2017-10-14,Colby College,Connecticut College,Colby College
38,Fri.,2017-10-27,Colby College,Trinity College,Trinity College
39,Sat.,2017-10-28,Colby College,Amherst College,Amherst College
40,Fri.,2017-09-15,Connecticut College,Hamilton College,Hamilton College
41,Sat.,2017-09-16,Connecticut College,Williams College,Williams College
42,Thu.,2017-09-21,Connecticut College,Wesleyan University,Wesleyan University
43,Fri.,2017-09-29,Connecticut College,Amherst College,Connecticut College
44,Sat.,2017-09-30,Connecticut College,Trinity College,Connecticut College
45,Fri.,2017-10-06,Connecticut College,Middlebury College,Middlebury College
46,Fri.,2017-10-13,Connecticut College,Bates College,Bates College
47,Sat.,2017-10-14,Connecticut College,Colby College,Colby College
48,Fri.,2017-10-27,Connecticut College,Tufts University,Connecticut College
49,Sat.,2017-10-28,Connecticut College,Bowdoin College,Connecticut College
50,Fri.,2017-09-15,Hamilton College,Connecticut College,Hamilton College
51,Sat.,2017-09-16,Hamilton College,Wesleyan University,Hamilton College
52,Fri.,2017-09-22,Hamilton College,Williams College,Hamilton College
53,Fri.,2017-09-29,Hamilton College,Tufts University,Tufts University
54,Sat.,2017-09-30,Hamilton College,Bowdoin College,Bowdoin College
55,Fri.,2017-10-06,Hamilton College,Bates College,Bates College
56,Sat.,2017-10-07,Hamilton College,Colby College,Colby College
57,Fri.,2017-10-13,Hamilton College,Amherst College,Hamilton College
58,Sat.,2017-10-14,Hamilton College,Trinity College,Hamilton College
59,Fri.,2017-10-27,Hamilton College,Middlebury College,Hamilton College
60,Fri.,2017-09-15,Middlebury College,Amherst College,Amherst College
61,Sat.,2017-09-16,Middlebury College,Trinity College,Trinity College
62,Fri.,2017-09-29,Middlebury College,Bates College,Middlebury College
63,Sat.,2017-09-30,Middlebury College,Colby College,Middlebury College
64,Fri.,2017-10-06,Middlebury College,Connecticut College,Middlebury College
65,Sat.,2017-10-07,Middlebury College,Wesleyan University,Middlebury College
66,Fri.,2017-10-13,Middlebury College,Tufts University,Tufts University
67,Sat.,2017-10-14,Middlebury College,Bowdoin College,Bowdoin College
68,Fri.,2017-10-27,Middlebury College,Hamilton College,Hamilton College
69,Sat.,2017-10-28,Middlebury College,Williams College,Williams College
70,Sat.,2017-09-16,Trinity College,Middlebury College,Trinity College
71,Fri.,2017-09-22,Trinity College,Amherst College,Trinity College
72,Fri.,2017-09-29,Trinity College,Wesleyan University,Wesleyan University
73,Sat.,2017-09-30,Trinity College,Connecticut College,Connecticut College
74,Fri.,2017-10-06,Trinity College,Bowdoin College,Trinity College
75,Sat.,2017-10-07,Trinity College,Tufts University,Trinity College
76,Fri.,2017-10-13,Trinity College,Williams College,Williams College
77,Sat.,2017-10-14,Trinity College,Hamilton College,Hamilton College
78,Fri.,2017-10-27,Trinity College,Colby College,Trinity College
79,Sat.,2017-10-28,Trinity College,Bates College,Trinity College
80,Fri.,2017-09-15,Tufts University,Bates College,Tufts University
81,Sat.,2017-09-16,Tufts University,Colby College,Tufts University
82,Tue.,2017-09-19,Tufts University,Bowdoin College,Bowdoin College
83,Fri.,2017-09-29,Tufts University,Hamilton College,Tufts University
84,Sat.,2017-09-30,Tufts University,Williams College,Tufts University
85,Fri.,2017-10-06,Tufts University,Amherst College,Amherst College
86,Sat.,2017-10-07,Tufts University,Trinity College,Trinity College
87,Fri.,2017-10-13,Tufts University,Middlebury College,Tufts University
88,Fri.,2017-10-27,Tufts University,Connecticut College,Connecticut College
89,Sat.,2017-10-28,Tufts University,Wesleyan University,Wesleyan University
90,Fri.,2017-09-15,Wesleyan University,Williams College,Williams College
91,Sat.,2017-09-16,Wesleyan University,Hamilton College,Hamilton College
92,Thu.,2017-09-21,Wesleyan University,Connecticut College,Wesleyan University
93,Fri.,2017-09-29,Wesleyan University,Trinity College,Wesleyan University
94,Sat.,2017-09-30,Wesleyan University,Amherst College,Wesleyan University
95,Sat.,2017-10-07,Wesleyan University,Middlebury College,Middlebury College
96,Fri.,2017-10-13,Wesleyan University,Colby College,Colby College
97,Sat.,2017-10-14,Wesleyan University,Bates College,Bates College
98,Fri.,2017-10-27,Wesleyan University,Bowdoin College,Wesleyan University
99,Sat.,2017-10-28,Wesleyan University,Tufts University,Wesleyan University
100,Fri.,2017-09-15,Williams College,Wesleyan University,Williams College
101,Sat.,2017-09-16,Williams College,Connecticut College,Williams College
102,Fri.,2017-09-22,Williams College,Hamilton College,Hamilton College
103,Fri.,2017-09-29,Williams College,Bowdoin College,Bowdoin College
104,Sat.,2017-09-30,Williams College,Tufts University,Tufts University
105,Fri.,2017-10-06,Williams College,Colby College,Colby College
106,Sat.,2017-10-07,Williams College,Bates College,Bates College
107,Fri.,2017-10-13,Williams College,Trinity College,Williams College
108,Sat.,2017-10-14,Williams College,Amherst College,Williams College
109,Sat.,2017-10-28,Williams College,Middlebury College,Williams College
