,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2014-09-19,Bowdoin College,Connecticut College,Bowdoin College
1,Fri.,2014-09-19,Colby College,Tufts University,Colby College
2,Fri.,2014-09-19,Hamilton College,Bates College,Hamilton College
3,Fri.,2014-09-19,Trinity College,Amherst College,Trinity College
4,Fri.,2014-09-19,Wesleyan University,Williams College,Wesleyan University
5,Sat.,2014-09-20,Bowdoin College,Tufts University,Bowdoin College
6,Sat.,2014-09-20,Colby College,Connecticut College,Colby College
7,Sat.,2014-09-20,Middlebury College,Bates College,Middlebury College
8,Sat.,2014-09-20,Trinity College,Williams College,Trinity College
9,Sat.,2014-09-20,Wesleyan University,Amherst College,Wesleyan University
10,Fri.,2014-09-26,Amherst College,Williams College,Amherst College
11,Fri.,2014-09-26,Bowdoin College,Colby College,Bowdoin College
12,Fri.,2014-09-26,Middlebury College,Hamilton College,Middlebury College
13,Fri.,2014-09-26,Trinity College,Wesleyan University,Trinity College
14,Sat.,2014-09-27,Connecticut College,Tufts University,Connecticut College
15,Fri.,2014-10-03,Amherst College,Middlebury College,Amherst College
16,Fri.,2014-10-03,Bates College,Tufts University,Bates College
17,Fri.,2014-10-03,Bowdoin College,Trinity College,Bowdoin College
18,Fri.,2014-10-03,Colby College,Wesleyan University,Colby College
19,Fri.,2014-10-03,Williams College,Hamilton College,Williams College
20,Sat.,2014-10-04,Amherst College,Hamilton College,Amherst College
21,Sat.,2014-10-04,Bates College,Connecticut College,Bates College
22,Sat.,2014-10-04,Bowdoin College,Wesleyan University,Bowdoin College
23,Sat.,2014-10-04,Colby College,Trinity College,Colby College
24,Sat.,2014-10-04,Williams College,Middlebury College,Williams College
25,Fri.,2014-10-10,Bates College,Williams College,Bates College
26,Fri.,2014-10-10,Connecticut College,Trinity College,Connecticut College
27,Fri.,2014-10-10,Hamilton College,Colby College,Hamilton College
28,Fri.,2014-10-10,Middlebury College,Bowdoin College,Middlebury College
29,Fri.,2014-10-10,Tufts University,Wesleyan University,Tufts University
30,Sat.,2014-10-11,Bates College,Amherst College,Bates College
31,Sat.,2014-10-11,Connecticut College,Wesleyan University,Connecticut College
32,Sat.,2014-10-11,Hamilton College,Bowdoin College,Hamilton College
33,Sat.,2014-10-11,Middlebury College,Colby College,Middlebury College
34,Sat.,2014-10-11,Tufts University,Trinity College,Tufts University
35,Fri.,2014-10-17,Bowdoin College,Bates College,Bowdoin College
36,Fri.,2014-10-17,Connecticut College,Amherst College,Connecticut College
37,Fri.,2014-10-17,Trinity College,Middlebury College,Trinity College
38,Fri.,2014-10-17,Tufts University,Williams College,Tufts University
39,Fri.,2014-10-17,Wesleyan University,Hamilton College,Wesleyan University
40,Sat.,2014-10-18,Connecticut College,Williams College,Connecticut College
41,Sat.,2014-10-18,Trinity College,Hamilton College,Trinity College
42,Sat.,2014-10-18,Tufts University,Amherst College,Tufts University
43,Sat.,2014-10-18,Wesleyan University,Middlebury College,Wesleyan University
44,Fri.,2014-10-24,Colby College,Bates College,Colby College
45,Fri.,2014-10-31,Amherst College,Bowdoin College,Amherst College
46,Fri.,2014-10-31,Hamilton College,Tufts University,Hamilton College
47,Fri.,2014-10-31,Middlebury College,Connecticut College,Middlebury College
48,Fri.,2014-10-31,Wesleyan University,Bates College,Wesleyan University
49,Fri.,2014-10-31,Williams College,Colby College,Williams College
50,Sat.,2014-11-01,Amherst College,Colby College,Amherst College
51,Sat.,2014-11-01,Hamilton College,Connecticut College,Hamilton College
52,Sat.,2014-11-01,Middlebury College,Tufts University,Middlebury College
53,Sat.,2014-11-01,Trinity College,Bates College,Trinity College
54,Sat.,2014-11-01,Williams College,Bowdoin College,Williams College
