,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2015-09-18,Amherst College,Connecticut College,Amherst College
1,Sat.,2015-09-19,Amherst College,Tufts University,Amherst College
2,Wed.,2015-09-23,Amherst College,Williams College,Williams College
3,Fri.,2015-10-02,Amherst College,Colby College,Amherst College
4,Sat.,2015-10-03,Amherst College,Bates College,Amherst College
5,Fri.,2015-10-09,Amherst College,Middlebury College,Middlebury College
6,Sat.,2015-10-10,Amherst College,Hamilton College,Hamilton College
7,Fri.,2015-10-16,Amherst College,Bowdoin College,Amherst College
8,Fri.,2015-10-30,Amherst College,Trinity College,Trinity College
9,Sat.,2015-10-31,Amherst College,Wesleyan University,Wesleyan University
10,Fri.,2015-09-18,Bates College,Wesleyan University,Bates College
11,Sat.,2015-09-19,Bates College,Trinity College,Bates College
12,Fri.,2015-09-25,Bates College,Colby College,Bates College
13,Fri.,2015-10-02,Bates College,Williams College,Williams College
14,Sat.,2015-10-03,Bates College,Amherst College,Amherst College
15,Fri.,2015-10-09,Bates College,Tufts University,Tufts University
16,Sat.,2015-10-10,Bates College,Connecticut College,Connecticut College
17,Fri.,2015-10-16,Bates College,Hamilton College,Bates College
18,Sat.,2015-10-17,Bates College,Middlebury College,Bates College
19,Sat.,2015-10-31,Bates College,Bowdoin College,Bates College
20,Fri.,2015-09-18,Bowdoin College,Middlebury College,Middlebury College
21,Sat.,2015-09-19,Bowdoin College,Hamilton College,Hamilton College
22,Fri.,2015-10-02,Bowdoin College,Connecticut College,Bowdoin College
23,Sat.,2015-10-03,Bowdoin College,Tufts University,Bowdoin College
24,Fri.,2015-10-09,Bowdoin College,Trinity College,Bowdoin College
25,Sat.,2015-10-10,Bowdoin College,Wesleyan University,Bowdoin College
26,Fri.,2015-10-16,Bowdoin College,Amherst College,Amherst College
27,Sat.,2015-10-17,Bowdoin College,Williams College,Williams College
28,Fri.,2015-10-30,Bowdoin College,Colby College,Colby College
29,Sat.,2015-10-31,Bowdoin College,Bates College,Bates College
30,Fri.,2015-09-18,Colby College,Trinity College,Colby College
31,Sat.,2015-09-19,Colby College,Wesleyan University,Colby College
32,Fri.,2015-09-25,Colby College,Bates College,Bates College
33,Fri.,2015-10-02,Colby College,Amherst College,Amherst College
34,Sat.,2015-10-03,Colby College,Williams College,Williams College
35,Fri.,2015-10-09,Colby College,Connecticut College,Connecticut College
36,Sat.,2015-10-10,Colby College,Tufts University,Tufts University
37,Fri.,2015-10-16,Colby College,Middlebury College,Colby College
38,Sat.,2015-10-17,Colby College,Hamilton College,Colby College
39,Fri.,2015-10-30,Colby College,Bowdoin College,Colby College
40,Fri.,2015-09-18,Connecticut College,Amherst College,Amherst College
41,Sat.,2015-09-19,Connecticut College,Williams College,Williams College
42,Fri.,2015-09-25,Connecticut College,Tufts University,Tufts University
43,Fri.,2015-10-02,Connecticut College,Bowdoin College,Bowdoin College
44,Fri.,2015-10-09,Connecticut College,Colby College,Connecticut College
45,Sat.,2015-10-10,Connecticut College,Bates College,Connecticut College
46,Fri.,2015-10-16,Connecticut College,Trinity College,Connecticut College
47,Sat.,2015-10-17,Connecticut College,Wesleyan University,Connecticut College
48,Fri.,2015-10-30,Connecticut College,Middlebury College,Middlebury College
49,Sat.,2015-10-31,Connecticut College,Hamilton College,Hamilton College
50,Sat.,2015-09-19,Hamilton College,Bowdoin College,Hamilton College
51,Fri.,2015-09-25,Hamilton College,Middlebury College,Hamilton College
52,Fri.,2015-10-02,Hamilton College,Wesleyan University,Wesleyan University
53,Sat.,2015-10-03,Hamilton College,Trinity College,Trinity College
54,Fri.,2015-10-09,Hamilton College,Williams College,Hamilton College
55,Sat.,2015-10-10,Hamilton College,Amherst College,Hamilton College
56,Fri.,2015-10-16,Hamilton College,Bates College,Bates College
57,Sat.,2015-10-17,Hamilton College,Colby College,Colby College
58,Fri.,2015-10-30,Hamilton College,Tufts University,Hamilton College
59,Sat.,2015-10-31,Hamilton College,Connecticut College,Hamilton College
60,Fri.,2015-09-18,Middlebury College,Bowdoin College,Middlebury College
61,Fri.,2015-09-25,Middlebury College,Hamilton College,Hamilton College
62,Fri.,2015-10-02,Middlebury College,Trinity College,Trinity College
63,Sat.,2015-10-03,Middlebury College,Wesleyan University,Wesleyan University
64,Fri.,2015-10-09,Middlebury College,Amherst College,Middlebury College
65,Sat.,2015-10-10,Middlebury College,Williams College,Middlebury College
66,Fri.,2015-10-16,Middlebury College,Colby College,Colby College
67,Sat.,2015-10-17,Middlebury College,Bates College,Bates College
68,Fri.,2015-10-30,Middlebury College,Connecticut College,Middlebury College
69,Sat.,2015-10-31,Middlebury College,Tufts University,Middlebury College
70,Fri.,2015-09-18,Trinity College,Colby College,Colby College
71,Sat.,2015-09-19,Trinity College,Bates College,Bates College
72,Fri.,2015-09-25,Trinity College,Wesleyan University,Wesleyan University
73,Fri.,2015-10-02,Trinity College,Middlebury College,Trinity College
74,Sat.,2015-10-03,Trinity College,Hamilton College,Trinity College
75,Fri.,2015-10-09,Trinity College,Bowdoin College,Bowdoin College
76,Fri.,2015-10-16,Trinity College,Connecticut College,Connecticut College
77,Sat.,2015-10-17,Trinity College,Tufts University,Tufts University
78,Fri.,2015-10-30,Trinity College,Amherst College,Trinity College
79,Sat.,2015-10-31,Trinity College,Williams College,Trinity College
80,Fri.,2015-09-18,Tufts University,Williams College,Williams College
81,Sat.,2015-09-19,Tufts University,Amherst College,Amherst College
82,Fri.,2015-09-25,Tufts University,Connecticut College,Tufts University
83,Sat.,2015-10-03,Tufts University,Bowdoin College,Bowdoin College
84,Fri.,2015-10-09,Tufts University,Bates College,Tufts University
85,Sat.,2015-10-10,Tufts University,Colby College,Tufts University
86,Fri.,2015-10-16,Tufts University,Wesleyan University,Tufts University
87,Sat.,2015-10-17,Tufts University,Trinity College,Tufts University
88,Fri.,2015-10-30,Tufts University,Hamilton College,Hamilton College
89,Sat.,2015-10-31,Tufts University,Middlebury College,Middlebury College
90,Fri.,2015-09-18,Wesleyan University,Bates College,Bates College
91,Sat.,2015-09-19,Wesleyan University,Colby College,Colby College
