,Day (Str),Date,Team 1,Team 2,Location
63,Sat.,2009-10-10,Middlebury College,Wesleyan University,Connecticut College
64,Fri.,2009-10-16,Middlebury College,Tufts University,Middlebury College
65,Sat.,2009-10-17,Middlebury College,Bowdoin College,Middlebury College
66,Sat.,2009-10-17,Middlebury College,Hamilton College,Middlebury College
67,Wed.,2009-10-28,Middlebury College,Williams College,Williams College
68,Sat.,2009-10-31,Middlebury College,Colby College,Hamilton College
69,Sat.,2009-10-31,Middlebury College,Bates College,Hamilton College
70,Fri.,2009-09-18,Trinity College,Bates College,Bates College
71,Sat.,2009-09-19,Trinity College,Colby College,Bates College
72,Fri.,2009-10-02,Trinity College,Hamilton College,Williams College
73,Sat.,2009-10-03,Trinity College,Middlebury College,Williams College
74,Sat.,2009-10-03,Trinity College,Williams College,Williams College
75,Fri.,2009-10-16,Trinity College,Wesleyan University,Trinity College
76,Sat.,2009-10-17,Trinity College,Connecticut College,Trinity College
77,Wed.,2009-10-21,Trinity College,Amherst College,Trinity College
78,Fri.,2009-10-30,Trinity College,Tufts University,Amherst College
79,Sat.,2009-10-31,Trinity College,Bowdoin College,Amherst College
80,Fri.,2009-09-18,Tufts University,Wesleyan University,Tufts University
81,Sat.,2009-09-19,Tufts University,Connecticut College,Tufts University
82,Wed.,2009-10-07,Tufts University,Bowdoin College,Tufts University
83,Fri.,2009-10-09,Tufts University,Bates College,Bowdoin College
84,Sat.,2009-10-10,Tufts University,Colby College,Bowdoin College
85,Fri.,2009-10-16,Tufts University,Middlebury College,Middlebury College
86,Sat.,2009-10-17,Tufts University,Hamilton College,Middlebury College
87,Sat.,2009-10-17,Tufts University,Williams College,Middlebury College
88,Fri.,2009-10-30,Tufts University,Trinity College,Amherst College
89,Sat.,2009-10-31,Tufts University,Amherst College,Amherst College
90,Fri.,2009-09-18,Wesleyan University,Tufts University,Tufts University
91,Sat.,2009-09-19,Wesleyan University,Bowdoin College,Tufts University
92,Fri.,2009-10-02,Wesleyan University,Colby College,Wesleyan University
93,Sat.,2009-10-03,Wesleyan University,Bates College,Wesleyan University
94,Fri.,2009-10-09,Wesleyan University,Williams College,Connecticut College
95,Sat.,2009-10-10,Wesleyan University,Hamilton College,Connecticut College
96,Sat.,2009-10-10,Wesleyan University,Middlebury College,Connecticut College
97,Fri.,2009-10-16,Wesleyan University,Trinity College,Trinity College
98,Sat.,2009-10-17,Wesleyan University,Amherst College,Trinity College
99,Fri.,2009-10-30,Wesleyan University,Connecticut College,Connecticut College
100,Tue.,2009-09-22,Williams College,Hamilton College,Hamilton College
101,Fri.,2009-10-02,Williams College,Amherst College,Williams College
102,Sat.,2009-10-03,Williams College,Trinity College,Williams College
103,Fri.,2009-10-09,Williams College,Wesleyan University,Connecticut College
104,Sat.,2009-10-10,Williams College,Connecticut College,Connecticut College
105,Sat.,2009-10-17,Williams College,Bowdoin College,Middlebury College
106,Sat.,2009-10-17,Williams College,Tufts University,Middlebury College
107,Wed.,2009-10-28,Williams College,Middlebury College,Williams College
108,Fri.,2009-10-30,Williams College,Bates College,Hamilton College
109,Sat.,2009-10-31,Williams College,Colby College,Hamilton College
