,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2009-09-18,Amherst College,Colby College,Bates College
1,Sat.,2009-09-19,Amherst College,Bates College,Bates College
2,Fri.,2009-10-02,Amherst College,Williams College,Williams College
3,Sat.,2009-10-03,Amherst College,Hamilton College,Williams College
4,Sat.,2009-10-03,Amherst College,Middlebury College,Williams College
5,Fri.,2009-10-16,Amherst College,Connecticut College,Trinity College
6,Sat.,2009-10-17,Amherst College,Wesleyan University,Trinity College
7,Wed.,2009-10-21,Amherst College,Trinity College,Trinity College
8,Fri.,2009-10-30,Amherst College,Bowdoin College,Amherst College
9,Sat.,2009-10-31,Amherst College,Tufts University,Amherst College
10,Fri.,2009-09-18,Bates College,Trinity College,Bates College
11,Sat.,2009-09-19,Bates College,Amherst College,Bates College
12,Fri.,2009-10-02,Bates College,Connecticut College,Wesleyan University
13,Sat.,2009-10-03,Bates College,Wesleyan University,Wesleyan University
14,Fri.,2009-10-09,Bates College,Tufts University,Bowdoin College
15,Sat.,2009-10-10,Bates College,Bowdoin College,Bowdoin College
16,Wed.,2009-10-21,Bates College,Colby College,Bates College
17,Fri.,2009-10-30,Bates College,Williams College,Hamilton College
18,Sat.,2009-10-31,Bates College,Hamilton College,Hamilton College
19,Sat.,2009-10-31,Bates College,Middlebury College,Hamilton College
20,Fri.,2009-09-18,Bowdoin College,Connecticut College,Tufts University
21,Sat.,2009-09-19,Bowdoin College,Wesleyan University,Tufts University
22,Wed.,2009-10-07,Bowdoin College,Tufts University,Tufts University
23,Fri.,2009-10-09,Bowdoin College,Colby College,Bowdoin College
24,Sat.,2009-10-10,Bowdoin College,Bates College,Bowdoin College
25,Fri.,2009-10-16,Bowdoin College,Hamilton College,Middlebury College
26,Sat.,2009-10-17,Bowdoin College,Middlebury College,Middlebury College
27,Sat.,2009-10-17,Bowdoin College,Williams College,Middlebury College
28,Fri.,2009-10-30,Bowdoin College,Amherst College,Amherst College
29,Sat.,2009-10-31,Bowdoin College,Trinity College,Amherst College
30,Fri.,2009-09-18,Colby College,Amherst College,Bates College
31,Sat.,2009-09-19,Colby College,Trinity College,Bates College
32,Fri.,2009-10-02,Colby College,Wesleyan University,Wesleyan University
33,Sat.,2009-10-03,Colby College,Connecticut College,Wesleyan University
34,Fri.,2009-10-09,Colby College,Bowdoin College,Bowdoin College
35,Sat.,2009-10-10,Colby College,Tufts University,Bowdoin College
36,Wed.,2009-10-21,Colby College,Bates College,Bates College
37,Fri.,2009-10-30,Colby College,Hamilton College,Hamilton College
38,Sat.,2009-10-31,Colby College,Middlebury College,Hamilton College
39,Sat.,2009-10-31,Colby College,Williams College,Hamilton College
40,Fri.,2009-09-18,Connecticut College,Bowdoin College,Tufts University
41,Sat.,2009-09-19,Connecticut College,Tufts University,Tufts University
42,Fri.,2009-10-02,Connecticut College,Bates College,Wesleyan University
43,Sat.,2009-10-03,Connecticut College,Colby College,Wesleyan University
44,Fri.,2009-10-09,Connecticut College,Middlebury College,Connecticut College
45,Sat.,2009-10-10,Connecticut College,Williams College,Connecticut College
46,Sat.,2009-10-10,Connecticut College,Hamilton College,Connecticut College
47,Fri.,2009-10-16,Connecticut College,Amherst College,Trinity College
48,Sat.,2009-10-17,Connecticut College,Trinity College,Trinity College
49,Fri.,2009-10-30,Connecticut College,Wesleyan University,Connecticut College
50,Tue.,2009-09-22,Hamilton College,Williams College,Hamilton College
51,Fri.,2009-10-02,Hamilton College,Trinity College,Williams College
52,Sat.,2009-10-03,Hamilton College,Amherst College,Williams College
53,Sat.,2009-10-10,Hamilton College,Connecticut College,Connecticut College
54,Sat.,2009-10-10,Hamilton College,Wesleyan University,Connecticut College
55,Fri.,2009-10-16,Hamilton College,Bowdoin College,Middlebury College
56,Sat.,2009-10-17,Hamilton College,Tufts University,Middlebury College
57,Sat.,2009-10-17,Hamilton College,Middlebury College,Middlebury College
58,Fri.,2009-10-30,Hamilton College,Colby College,Hamilton College
59,Sat.,2009-10-31,Hamilton College,Bates College,Hamilton College
60,Sat.,2009-10-03,Middlebury College,Trinity College,Williams College
61,Sat.,2009-10-03,Middlebury College,Amherst College,Williams College
62,Fri.,2009-10-09,Middlebury College,Connecticut College,Connecticut College
