,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2009-09-18,Amherst College,Colby College,Bates College
1,Fri.,2009-09-18,Bates College,Trinity College,Bates College
2,Fri.,2009-09-18,Connecticut College,Bowdoin College,Tufts University
3,Fri.,2009-09-18,Tufts University,Wesleyan University,Tufts University
4,Sat.,2009-09-19,Bates College,Amherst College,Bates College
5,Sat.,2009-09-19,Trinity College,Colby College,Bates College
6,Sat.,2009-09-19,Tufts University,Connecticut College,Tufts University
7,Sat.,2009-09-19,Wesleyan University,Bowdoin College,Tufts University
8,Tue.,2009-09-22,Hamilton College,Williams College,Hamilton College
9,Fri.,2009-10-02,Connecticut College,Bates College,Wesleyan University
10,Fri.,2009-10-02,Hamilton College,Trinity College,Williams College
11,Fri.,2009-10-02,Wesleyan University,Colby College,Wesleyan University
12,Fri.,2009-10-02,Williams College,Amherst College,Williams College
13,Sat.,2009-10-03,Connecticut College,Colby College,Wesleyan University
14,Sat.,2009-10-03,Hamilton College,Amherst College,Williams College
15,Sat.,2009-10-03,Middlebury College,Trinity College,Williams College
16,Sat.,2009-10-03,Middlebury College,Amherst College,Williams College
17,Sat.,2009-10-03,Wesleyan University,Bates College,Wesleyan University
18,Sat.,2009-10-03,Williams College,Trinity College,Williams College
19,Wed.,2009-10-07,Tufts University,Bowdoin College,Tufts University
20,Fri.,2009-10-09,Bowdoin College,Colby College,Bowdoin College
21,Fri.,2009-10-09,Connecticut College,Middlebury College,Connecticut College
22,Fri.,2009-10-09,Tufts University,Bates College,Bowdoin College
23,Fri.,2009-10-09,Williams College,Wesleyan University,Connecticut College
24,Sat.,2009-10-10,Bowdoin College,Bates College,Bowdoin College
25,Sat.,2009-10-10,Connecticut College,Williams College,Connecticut College
26,Sat.,2009-10-10,Connecticut College,Hamilton College,Connecticut College
27,Sat.,2009-10-10,Hamilton College,Wesleyan University,Connecticut College
28,Sat.,2009-10-10,Middlebury College,Wesleyan University,Connecticut College
29,Sat.,2009-10-10,Tufts University,Colby College,Bowdoin College
30,Fri.,2009-10-16,Amherst College,Connecticut College,Trinity College
31,Fri.,2009-10-16,Hamilton College,Bowdoin College,Middlebury College
32,Fri.,2009-10-16,Middlebury College,Tufts University,Middlebury College
33,Fri.,2009-10-16,Trinity College,Wesleyan University,Trinity College
34,Sat.,2009-10-17,Amherst College,Wesleyan University,Trinity College
35,Sat.,2009-10-17,Hamilton College,Tufts University,Middlebury College
36,Sat.,2009-10-17,Middlebury College,Bowdoin College,Middlebury College
37,Sat.,2009-10-17,Middlebury College,Hamilton College,Middlebury College
38,Sat.,2009-10-17,Trinity College,Connecticut College,Trinity College
39,Sat.,2009-10-17,Williams College,Bowdoin College,Middlebury College
40,Sat.,2009-10-17,Williams College,Tufts University,Middlebury College
41,Wed.,2009-10-21,Bates College,Colby College,Bates College
42,Wed.,2009-10-21,Trinity College,Amherst College,Trinity College
43,Wed.,2009-10-28,Williams College,Middlebury College,Williams College
44,Fri.,2009-10-30,Amherst College,Bowdoin College,Amherst College
45,Fri.,2009-10-30,Connecticut College,Wesleyan University,Connecticut College
46,Fri.,2009-10-30,Hamilton College,Colby College,Hamilton College
47,Fri.,2009-10-30,Trinity College,Tufts University,Amherst College
48,Fri.,2009-10-30,Williams College,Bates College,Hamilton College
49,Sat.,2009-10-31,Amherst College,Tufts University,Amherst College
50,Sat.,2009-10-31,Hamilton College,Bates College,Hamilton College
51,Sat.,2009-10-31,Middlebury College,Colby College,Hamilton College
52,Sat.,2009-10-31,Middlebury College,Bates College,Hamilton College
53,Sat.,2009-10-31,Trinity College,Bowdoin College,Amherst College
54,Sat.,2009-10-31,Williams College,Colby College,Hamilton College
