,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2011-09-16,Bowdoin College,Colby College,Bowdoin College
1,Fri.,2011-09-16,Connecticut College,Williams College,Connecticut College
2,Fri.,2011-09-16,Hamilton College,Tufts University,Connecticut College
3,Fri.,2011-09-16,Middlebury College,Trinity College,Wesleyan University
4,Fri.,2011-09-16,Wesleyan University,Amherst College,Wesleyan University
5,Sat.,2011-09-17,Colby College,Bates College,Colby College
6,Sat.,2011-09-17,Connecticut College,Hamilton College,Connecticut College
7,Sat.,2011-09-17,Trinity College,Amherst College,Wesleyan University
8,Sat.,2011-09-17,Tufts University,Williams College,Connecticut College
9,Sat.,2011-09-17,Wesleyan University,Middlebury College,Wesleyan University
10,Sun.,2011-09-18,Bates College,Bowdoin College,Bates College
11,Fri.,2011-09-30,Bowdoin College,Tufts University,Bowdoin College
12,Fri.,2011-09-30,Connecticut College,Colby College,Bowdoin College
13,Fri.,2011-09-30,Hamilton College,Trinity College,Hamilton College
14,Fri.,2011-09-30,Middlebury College,Amherst College,Middlebury College
15,Fri.,2011-09-30,Wesleyan University,Williams College,Hamilton College
16,Sat.,2011-10-01,Bates College,Tufts University,Bowdoin College
17,Sat.,2011-10-01,Bates College,Connecticut College,Bowdoin College
18,Sat.,2011-10-01,Bowdoin College,Connecticut College,Bowdoin College
19,Sat.,2011-10-01,Hamilton College,Wesleyan University,Hamilton College
20,Sat.,2011-10-01,Hamilton College,Williams College,Hamilton College
21,Sat.,2011-10-01,Tufts University,Colby College,Bowdoin College
22,Sat.,2011-10-01,Williams College,Trinity College,Hamilton College
23,Fri.,2011-10-07,Connecticut College,Middlebury College,Tufts University
24,Fri.,2011-10-07,Hamilton College,Bates College,Williams College
25,Fri.,2011-10-07,Trinity College,Wesleyan University,Trinity College
26,Fri.,2011-10-07,Tufts University,Amherst College,Tufts University
27,Fri.,2011-10-07,Williams College,Bowdoin College,Williams College
28,Sat.,2011-10-08,Amherst College,Connecticut College,Tufts University
29,Sat.,2011-10-08,Hamilton College,Colby College,Williams College
30,Sat.,2011-10-08,Hamilton College,Bowdoin College,Williams College
31,Sat.,2011-10-08,Tufts University,Middlebury College,Tufts University
32,Sat.,2011-10-08,Williams College,Bates College,Williams College
33,Sat.,2011-10-08,Williams College,Colby College,Williams College
34,Fri.,2011-10-14,Bowdoin College,Middlebury College,Colby College
35,Fri.,2011-10-14,Colby College,Amherst College,Colby College
36,Fri.,2011-10-14,Trinity College,Connecticut College,Trinity College
37,Fri.,2011-10-14,Wesleyan University,Tufts University,Trinity College
38,Sat.,2011-10-15,Amherst College,Bowdoin College,Colby College
39,Sat.,2011-10-15,Bates College,Amherst College,Colby College
40,Sat.,2011-10-15,Colby College,Middlebury College,Colby College
41,Sat.,2011-10-15,Middlebury College,Bates College,Colby College
42,Sat.,2011-10-15,Trinity College,Tufts University,Trinity College
43,Sat.,2011-10-15,Wesleyan University,Connecticut College,Trinity College
44,Fri.,2011-10-28,Amherst College,Williams College,Amherst College
45,Fri.,2011-10-28,Bates College,Trinity College,Bates College
46,Fri.,2011-10-28,Bowdoin College,Wesleyan University,Bates College
47,Fri.,2011-10-28,Connecticut College,Tufts University,Connecticut College
48,Fri.,2011-10-28,Middlebury College,Hamilton College,Amherst College
49,Sat.,2011-10-29,Amherst College,Hamilton College,Amherst College
50,Sat.,2011-10-29,Bates College,Wesleyan University,Bates College
51,Sat.,2011-10-29,Bowdoin College,Trinity College,Bates College
52,Sat.,2011-10-29,Colby College,Trinity College,Bates College
53,Sat.,2011-10-29,Middlebury College,Williams College,Amherst College
54,Sat.,2011-10-29,Wesleyan University,Colby College,Bates College
