,Day (Str),Date,Team 1,Team 2,Location
95,Fri.,2011-10-14,Wesleyan University,Tufts University,Trinity College
96,Sat.,2011-10-15,Wesleyan University,Connecticut College,Trinity College
97,Fri.,2011-10-28,Wesleyan University,Bowdoin College,Bates College
98,Sat.,2011-10-29,Wesleyan University,Bates College,Bates College
99,Sat.,2011-10-29,Wesleyan University,Colby College,Bates College
100,Fri.,2011-09-16,Williams College,Connecticut College,Connecticut College
101,Sat.,2011-09-17,Williams College,Tufts University,Connecticut College
102,Fri.,2011-09-30,Williams College,Wesleyan University,Hamilton College
103,Sat.,2011-10-01,Williams College,Hamilton College,Hamilton College
104,Sat.,2011-10-01,Williams College,Trinity College,Hamilton College
105,Fri.,2011-10-07,Williams College,Bowdoin College,Williams College
106,Sat.,2011-10-08,Williams College,Bates College,Williams College
107,Sat.,2011-10-08,Williams College,Colby College,Williams College
108,Fri.,2011-10-28,Williams College,Amherst College,Amherst College
109,Sat.,2011-10-29,Williams College,Middlebury College,Amherst College
