,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2011-09-16,Amherst College,Wesleyan University,Wesleyan University
1,Sat.,2011-09-17,Amherst College,Trinity College,Wesleyan University
2,Fri.,2011-09-30,Amherst College,Middlebury College,Middlebury College
3,Fri.,2011-10-07,Amherst College,Tufts University,Tufts University
4,Sat.,2011-10-08,Amherst College,Connecticut College,Tufts University
5,Fri.,2011-10-14,Amherst College,Colby College,Colby College
6,Sat.,2011-10-15,Amherst College,Bowdoin College,Colby College
7,Sat.,2011-10-15,Amherst College,Bates College,Colby College
8,Fri.,2011-10-28,Amherst College,Williams College,Amherst College
9,Sat.,2011-10-29,Amherst College,Hamilton College,Amherst College
10,Sat.,2011-09-17,Bates College,Colby College,Colby College
11,Sun.,2011-09-18,Bates College,Bowdoin College,Bates College
12,Sat.,2011-10-01,Bates College,Tufts University,Bowdoin College
13,Sat.,2011-10-01,Bates College,Connecticut College,Bowdoin College
14,Fri.,2011-10-07,Bates College,Hamilton College,Williams College
15,Sat.,2011-10-08,Bates College,Williams College,Williams College
16,Sat.,2011-10-15,Bates College,Amherst College,Colby College
17,Sat.,2011-10-15,Bates College,Middlebury College,Colby College
18,Fri.,2011-10-28,Bates College,Trinity College,Bates College
19,Sat.,2011-10-29,Bates College,Wesleyan University,Bates College
20,Fri.,2011-09-16,Bowdoin College,Colby College,Bowdoin College
21,Sun.,2011-09-18,Bowdoin College,Bates College,Bates College
22,Fri.,2011-09-30,Bowdoin College,Tufts University,Bowdoin College
23,Sat.,2011-10-01,Bowdoin College,Connecticut College,Bowdoin College
24,Fri.,2011-10-07,Bowdoin College,Williams College,Williams College
25,Sat.,2011-10-08,Bowdoin College,Hamilton College,Williams College
26,Fri.,2011-10-14,Bowdoin College,Middlebury College,Colby College
27,Sat.,2011-10-15,Bowdoin College,Amherst College,Colby College
28,Fri.,2011-10-28,Bowdoin College,Wesleyan University,Bates College
29,Sat.,2011-10-29,Bowdoin College,Trinity College,Bates College
30,Fri.,2011-09-16,Colby College,Bowdoin College,Bowdoin College
31,Sat.,2011-09-17,Colby College,Bates College,Colby College
32,Fri.,2011-09-30,Colby College,Connecticut College,Bowdoin College
33,Sat.,2011-10-01,Colby College,Tufts University,Bowdoin College
34,Sat.,2011-10-08,Colby College,Hamilton College,Williams College
35,Sat.,2011-10-08,Colby College,Williams College,Williams College
36,Fri.,2011-10-14,Colby College,Amherst College,Colby College
37,Sat.,2011-10-15,Colby College,Middlebury College,Colby College
38,Sat.,2011-10-29,Colby College,Trinity College,Bates College
39,Sat.,2011-10-29,Colby College,Wesleyan University,Bates College
40,Fri.,2011-09-16,Connecticut College,Williams College,Connecticut College
41,Sat.,2011-09-17,Connecticut College,Hamilton College,Connecticut College
42,Fri.,2011-09-30,Connecticut College,Colby College,Bowdoin College
43,Sat.,2011-10-01,Connecticut College,Bates College,Bowdoin College
44,Sat.,2011-10-01,Connecticut College,Bowdoin College,Bowdoin College
45,Fri.,2011-10-07,Connecticut College,Middlebury College,Tufts University
46,Sat.,2011-10-08,Connecticut College,Amherst College,Tufts University
47,Fri.,2011-10-14,Connecticut College,Trinity College,Trinity College
48,Sat.,2011-10-15,Connecticut College,Wesleyan University,Trinity College
49,Fri.,2011-10-28,Connecticut College,Tufts University,Connecticut College
50,Fri.,2011-09-16,Hamilton College,Tufts University,Connecticut College
51,Sat.,2011-09-17,Hamilton College,Connecticut College,Connecticut College
52,Fri.,2011-09-30,Hamilton College,Trinity College,Hamilton College
53,Sat.,2011-10-01,Hamilton College,Wesleyan University,Hamilton College
54,Sat.,2011-10-01,Hamilton College,Williams College,Hamilton College
55,Fri.,2011-10-07,Hamilton College,Bates College,Williams College
56,Sat.,2011-10-08,Hamilton College,Colby College,Williams College
57,Sat.,2011-10-08,Hamilton College,Bowdoin College,Williams College
58,Fri.,2011-10-28,Hamilton College,Middlebury College,Amherst College
59,Sat.,2011-10-29,Hamilton College,Amherst College,Amherst College
60,Fri.,2011-09-16,Middlebury College,Trinity College,Wesleyan University
61,Sat.,2011-09-17,Middlebury College,Wesleyan University,Wesleyan University
62,Fri.,2011-09-30,Middlebury College,Amherst College,Middlebury College
63,Fri.,2011-10-07,Middlebury College,Connecticut College,Tufts University
64,Sat.,2011-10-08,Middlebury College,Tufts University,Tufts University
65,Fri.,2011-10-14,Middlebury College,Bowdoin College,Colby College
66,Sat.,2011-10-15,Middlebury College,Colby College,Colby College
67,Sat.,2011-10-15,Middlebury College,Bates College,Colby College
68,Fri.,2011-10-28,Middlebury College,Hamilton College,Amherst College
69,Sat.,2011-10-29,Middlebury College,Williams College,Amherst College
70,Fri.,2011-09-16,Trinity College,Middlebury College,Wesleyan University
71,Sat.,2011-09-17,Trinity College,Amherst College,Wesleyan University
72,Fri.,2011-09-30,Trinity College,Hamilton College,Hamilton College
73,Sat.,2011-10-01,Trinity College,Williams College,Hamilton College
74,Fri.,2011-10-07,Trinity College,Wesleyan University,Trinity College
75,Fri.,2011-10-14,Trinity College,Connecticut College,Trinity College
76,Sat.,2011-10-15,Trinity College,Tufts University,Trinity College
77,Fri.,2011-10-28,Trinity College,Bates College,Bates College
78,Sat.,2011-10-29,Trinity College,Bowdoin College,Bates College
79,Sat.,2011-10-29,Trinity College,Colby College,Bates College
80,Fri.,2011-09-16,Tufts University,Hamilton College,Connecticut College
81,Sat.,2011-09-17,Tufts University,Williams College,Connecticut College
82,Fri.,2011-09-30,Tufts University,Bowdoin College,Bowdoin College
83,Sat.,2011-10-01,Tufts University,Bates College,Bowdoin College
84,Sat.,2011-10-01,Tufts University,Colby College,Bowdoin College
85,Fri.,2011-10-07,Tufts University,Amherst College,Tufts University
86,Sat.,2011-10-08,Tufts University,Middlebury College,Tufts University
87,Fri.,2011-10-14,Tufts University,Wesleyan University,Trinity College
88,Sat.,2011-10-15,Tufts University,Trinity College,Trinity College
89,Fri.,2011-10-28,Tufts University,Connecticut College,Connecticut College
90,Fri.,2011-09-16,Wesleyan University,Amherst College,Wesleyan University
91,Sat.,2011-09-17,Wesleyan University,Middlebury College,Wesleyan University
92,Fri.,2011-09-30,Wesleyan University,Williams College,Hamilton College
93,Sat.,2011-10-01,Wesleyan University,Hamilton College,Hamilton College
94,Fri.,2011-10-07,Wesleyan University,Trinity College,Trinity College
