,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2010-09-17,Colby College,Bowdoin College,Colby College
1,Fri.,2010-09-17,Connecticut College,Williams College,Connecticut College
2,Fri.,2010-09-17,Middlebury College,Amherst College,Middlebury College
3,Fri.,2010-09-17,Trinity College,Hamilton College,Connecticut College
4,Fri.,2010-09-17,Tufts University,Bates College,Colby College
5,Sat.,2010-09-18,Bowdoin College,Bates College,Colby College
6,Sat.,2010-09-18,Colby College,Tufts University,Colby College
7,Sat.,2010-09-18,Connecticut College,Hamilton College,Connecticut College
8,Sat.,2010-09-18,Trinity College,Williams College,Connecticut College
9,Sat.,2010-09-18,Wesleyan University,Williams College,Connecticut College
10,Sat.,2010-09-18,Wesleyan University,Hamilton College,Connecticut College
11,Fri.,2010-10-01,Bates College,Amherst College,Bates College
12,Fri.,2010-10-01,Connecticut College,Tufts University,Wesleyan University
13,Fri.,2010-10-01,Middlebury College,Colby College,Bates College
14,Fri.,2010-10-01,Wesleyan University,Bowdoin College,Wesleyan University
15,Sat.,2010-10-02,Amherst College,Colby College,Bates College
16,Sat.,2010-10-02,Bates College,Middlebury College,Bates College
17,Sat.,2010-10-02,Connecticut College,Bowdoin College,Wesleyan University
18,Sat.,2010-10-02,Trinity College,Tufts University,Wesleyan University
19,Sat.,2010-10-02,Trinity College,Bowdoin College,Wesleyan University
20,Sat.,2010-10-02,Wesleyan University,Tufts University,Wesleyan University
21,Fri.,2010-10-08,Amherst College,Tufts University,Middlebury College
22,Fri.,2010-10-08,Hamilton College,Bates College,Williams College
23,Fri.,2010-10-08,Middlebury College,Bowdoin College,Middlebury College
24,Fri.,2010-10-08,Wesleyan University,Trinity College,Wesleyan University
25,Fri.,2010-10-08,Williams College,Colby College,Williams College
26,Sat.,2010-10-09,Amherst College,Bowdoin College,Middlebury College
27,Sat.,2010-10-09,Connecticut College,Wesleyan University,Connecticut College
28,Sat.,2010-10-09,Hamilton College,Colby College,Williams College
29,Sat.,2010-10-09,Middlebury College,Tufts University,Middlebury College
30,Sat.,2010-10-09,Williams College,Bates College,Williams College
31,Sat.,2010-10-09,Williams College,Hamilton College,Williams College
32,Sun.,2010-10-10,Trinity College,Connecticut College,Trinity College
33,Wed.,2010-10-13,Bowdoin College,Tufts University,Bowdoin College
34,Fri.,2010-10-15,Amherst College,Trinity College,Amherst College
35,Fri.,2010-10-15,Hamilton College,Bowdoin College,Tufts University
36,Fri.,2010-10-15,Tufts University,Williams College,Tufts University
37,Fri.,2010-10-15,Wesleyan University,Middlebury College,Amherst College
38,Sat.,2010-10-16,Amherst College,Wesleyan University,Amherst College
39,Sat.,2010-10-16,Amherst College,Connecticut College,Amherst College
40,Sat.,2010-10-16,Connecticut College,Middlebury College,Amherst College
41,Sat.,2010-10-16,Trinity College,Middlebury College,Amherst College
42,Sat.,2010-10-16,Tufts University,Hamilton College,Tufts University
43,Sat.,2010-10-16,Williams College,Bowdoin College,Tufts University
44,Tue.,2010-10-19,Colby College,Bates College,Colby College
45,Fri.,2010-10-29,Hamilton College,Middlebury College,Hamilton College
46,Fri.,2010-10-29,Trinity College,Colby College,Trinity College
47,Fri.,2010-10-29,Wesleyan University,Bates College,Trinity College
48,Fri.,2010-10-29,Williams College,Amherst College,Hamilton College
49,Sat.,2010-10-30,Connecticut College,Bates College,Trinity College
50,Sat.,2010-10-30,Connecticut College,Colby College,Trinity College
51,Sat.,2010-10-30,Hamilton College,Amherst College,Hamilton College
52,Sat.,2010-10-30,Trinity College,Bates College,Trinity College
53,Sat.,2010-10-30,Wesleyan University,Colby College,Trinity College
54,Sat.,2010-10-30,Williams College,Middlebury College,Hamilton College
