,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2018-09-14,Bates College,Tufts University,Bates College
1,Fri.,2018-09-14,Colby College,Bowdoin College,Colby College
2,Fri.,2018-09-14,Connecticut College,Hamilton College,Connecticut College
3,Fri.,2018-09-14,Middlebury College,Amherst College,Middlebury College
4,Fri.,2018-09-14,Wesleyan University,Williams College,Wesleyan University
5,Sat.,2018-09-15,Bates College,Bowdoin College,Bates College
6,Sat.,2018-09-15,Colby College,Tufts University,Colby College
7,Sat.,2018-09-15,Connecticut College,Williams College,Connecticut College
8,Sat.,2018-09-15,Middlebury College,Trinity College,Middlebury College
9,Sat.,2018-09-15,Wesleyan University,Hamilton College,Wesleyan University
10,Tue.,2018-09-18,Williams College,Hamilton College,Williams College
11,Thu.,2018-09-20,Connecticut College,Wesleyan University,Connecticut College
12,Fri.,2018-09-21,Amherst College,Trinity College,Amherst College
13,Fri.,2018-09-21,Bates College,Colby College,Bates College
14,Fri.,2018-09-21,Tufts University,Bowdoin College,Tufts University
15,Fri.,2018-09-28,Amherst College,Connecticut College,Amherst College
16,Fri.,2018-09-28,Bates College,Middlebury College,Bates College
17,Fri.,2018-09-28,Hamilton College,Tufts University,Hamilton College
18,Fri.,2018-09-28,Trinity College,Wesleyan University,Trinity College
19,Fri.,2018-09-28,Williams College,Bowdoin College,Williams College
20,Sat.,2018-09-29,Amherst College,Wesleyan University,Amherst College
21,Sat.,2018-09-29,Colby College,Middlebury College,Colby College
22,Sat.,2018-09-29,Hamilton College,Bowdoin College,Hamilton College
23,Sat.,2018-09-29,Trinity College,Connecticut College,Trinity College
24,Sat.,2018-09-29,Williams College,Tufts University,Williams College
25,Fri.,2018-10-05,Bowdoin College,Trinity College,Bowdoin College
26,Fri.,2018-10-05,Connecticut College,Middlebury College,Connecticut College
27,Fri.,2018-10-05,Hamilton College,Bates College,Hamilton College
28,Fri.,2018-10-05,Tufts University,Amherst College,Tufts University
29,Fri.,2018-10-05,Williams College,Colby College,Williams College
30,Sat.,2018-10-06,Bowdoin College,Amherst College,Bowdoin College
31,Sat.,2018-10-06,Hamilton College,Colby College,Hamilton College
32,Sat.,2018-10-06,Tufts University,Trinity College,Tufts University
33,Sat.,2018-10-06,Wesleyan University,Middlebury College,Wesleyan University
34,Sat.,2018-10-06,Williams College,Bates College,Williams College
35,Fri.,2018-10-12,Amherst College,Hamilton College,Amherst College
36,Fri.,2018-10-12,Connecticut College,Bates College,Connecticut College
37,Fri.,2018-10-12,Middlebury College,Tufts University,Middlebury College
38,Fri.,2018-10-12,Trinity College,Williams College,Trinity College
39,Fri.,2018-10-12,Wesleyan University,Colby College,Wesleyan University
40,Sat.,2018-10-13,Amherst College,Williams College,Amherst College
41,Sat.,2018-10-13,Connecticut College,Colby College,Connecticut College
42,Sat.,2018-10-13,Middlebury College,Bowdoin College,Middlebury College
43,Sat.,2018-10-13,Trinity College,Hamilton College,Trinity College
44,Sat.,2018-10-13,Wesleyan University,Bates College,Wesleyan University
45,Fri.,2018-10-26,Bates College,Amherst College,Bates College
46,Fri.,2018-10-26,Bowdoin College,Wesleyan University,Bowdoin College
47,Fri.,2018-10-26,Colby College,Trinity College,Colby College
48,Fri.,2018-10-26,Middlebury College,Hamilton College,Middlebury College
49,Fri.,2018-10-26,Tufts University,Connecticut College,Tufts University
50,Sat.,2018-10-27,Bates College,Trinity College,Bates College
51,Sat.,2018-10-27,Bowdoin College,Connecticut College,Bowdoin College
52,Sat.,2018-10-27,Colby College,Amherst College,Colby College
53,Sat.,2018-10-27,Middlebury College,Williams College,Middlebury College
54,Sat.,2018-10-27,Tufts University,Wesleyan University,Tufts University
