,Date,Team 1,Team 2,Location,Day (Str)
92,2015-09-25,Wesleyan University,Trinity College,"(  ) Middletown, Conn.",Fri. 
93,2015-10-02,Wesleyan University,Hamilton College,Wesleyan University,Fri. 
94,2015-10-03,Wesleyan University,Middlebury College,Wesleyan University,Sat. 
95,2015-10-10,Wesleyan University,Bowdoin College,Bowdoin College,Sat. 
96,2015-10-16,Wesleyan University,Tufts University,Tufts University,Fri. 
97,2015-10-17,Wesleyan University,Connecticut College,Connecticut College,Sat. 
98,2015-10-30,Wesleyan University,Williams College,Wesleyan University,Fri. 
99,2015-10-31,Wesleyan University,Amherst College,Wesleyan University,Sat. 
100,2015-09-18,Williams College,Tufts University,Williams College,Fri. 
101,2015-09-19,Williams College,Connecticut College,Williams College,Sat. 
102,2015-09-23,Williams College,Amherst College,Williams College,Wed. 
103,2015-10-02,Williams College,Bates College,Williams College,Fri. 
104,2015-10-03,Williams College,Colby College,Williams College,Sat. 
105,2015-10-09,Williams College,Hamilton College,Hamilton College,Fri. 
106,2015-10-10,Williams College,Middlebury College,Middlebury College,Sat. 
107,2015-10-17,Williams College,Bowdoin College,Williams College,Sat. 
108,2015-10-30,Williams College,Wesleyan University,Wesleyan University,Fri. 
109,2015-10-31,Williams College,Trinity College,Trinity College,Sat. 
