,0,1,2,3,4,5,6,7,8,9,10
0,0,206,199,246,99,206,153,53,87,67,60
1,206,0,21,49,240,406,261,234,140,247,249
2,199,21,0,50,233,400,255,227,134,240,242
3,246,49,50,0,280,446,301,274,180,286,288
4,99,240,233,280,0,267,245,52,111,40,158
5,206,406,400,446,267,0,170,220,281,235,144
6,153,261,255,301,245,170,0,198,183,213,108
7,53,234,227,274,52,220,198,0,108,16,111
8,87,140,134,180,111,281,183,108,0,119,130
9,67,247,240,286,40,235,213,16,119,0,126
10,60,249,242,288,158,144,108,111,130,126,0
